source_id,angular_distance,number_of_neighbours,gaia_astrometric_params,table2_oid,ra,dec,ep,vmag,sptype,dist,pmra,pmde,simbadname,original_ext_source_id
4456127942261895808,0.02094742893239058,1,5,1079,238.03416666666664,10.874444444444444,2000,9.34,"M2     ",22.5,-0.27,-0.24,HIP77725,77725.0
3736865265439463424,0.11253361918302895,1,5,881,195.54416666666665,10.958888888888888,2000,2.85,G8IIIva,31.3,-0.28,0.02,HIP63608,63608.0
3294081521934473216,0.018244820514237498,1,5,337,71.10749999999999,11.14611111111111,2000,5.39,"F0V    ",48.2,0.1,-0.01,HIP22044,22044.0
3883317121883053184,0.007851879707630582,1,5,703,155.53958333333333,11.31,2000,7.78,"G5     ",26.8,0.02,-0.32,HIP50782,50782.0
3339921875389105152,0.0069354234793376915,1,5,397,84.12916666666665,11.327777777777778,2000,8.78,"K7     ",11.3,0.0,-0.06,HIP26335,26335.0
602079652404802688,0.004803070455601245,1,5,595,129.96166666666664,11.5225,2000,7.61,"K1V    ",18.5,-0.11,-0.5,HIP42499,42499.0
4312905248400130688,0.003242198120541911,1,5,1328,288.8958333333333,11.554444444444446,2000,8.06,"K0     ",25.3,0.18,-0.17,HIP94650,94650.0
25488745411919360,0.009470387415850644,1,5,195,41.572083333333325,11.775,2000,8.59,"K5     ",15.9,0.27,-0.21,HIP12929,12929.0
36590651757883392,0.0023216885227730385,1,5,264,56.212916666666665,11.92,2000,9.13,"K8V:   ",21.8,0.32,0.13,HIP17496,17496.0
3331979901042416512,0.013710614568021045,1,5,449,94.11083333333333,12.271944444444445,2000,5.04,"F5IV-V ",19.6,0.08,0.19,HIP29800,29800.0
2575383100738086656,0.0032474189855657793,1,5,123,26.661249999999995,12.411666666666667,2000,8.91,"K5     ",23.0,0.03,-0.08,HIP8275,8275.0
25792554218535296,0.033399989451328466,1,5,193,41.239999999999995,12.445555555555556,2000,5.17,A7III-I,38.2,0.12,-0.08,HIP12832,12832.0
3306483944376792832,0.05537634673029936,1,5,328,69.53958333333331,12.510555555555555,2000,4.27,"A6V    ",45.8,0.1,-0.01,HIP21589,21589.0
4316214125587568896,0.006357528923842609,1,5,1337,292.0641666666666,12.535833333333333,2000,9.17,"K2     ",27.5,-0.05,-0.04,HIP95730,95730.0
1760960887992601984,0.002231165125822756,1,5,1433,312.40749999999997,12.545,2000,6.01,"F5V    ",29.5,0.05,0.1,HIP102805,102805.0
4544196074866779904,0.014225185733459447,1,5,1169,256.3445833333333,12.740833333333333,2000,4.89,"A4IV   ",44.0,0.05,-0.01,HIP83613,83613.0
3163201979956736000,0.0016017285037317084,1,5,513,110.94624999999999,12.964444444444444,2000,8.19,"G5     ",25.0,0.08,-0.43,HIP35872,35872.0
1226844321337777536,0.004941198205422153,1,5,972,214.81791666666663,13.004166666666666,2000,5.41,"F5IV   ",26.0,0.11,-0.03,HIP69989,69989.0
650337664425397632,0.0020117612902539536,1,5,569,123.64958333333331,13.022777777777778,2000,8.79,"K5     ",18.3,-0.42,0.1,HIP40375,40375.0
3307650109600736000,0.012755496997728618,1,5,312,67.20916666666666,13.0475,2000,5.02,"A7V    ",49.1,0.11,-0.02,HIP20901,20901.0
1191518146611956096,0.019921124201546167,1,5,1081,238.30041666666665,13.196388888888889,2000,6.07,"G0IV   ",17.4,-0.15,-0.56,HIP77801,77801.0
614543647497149056,0.0036802567328829876,1,5,662,145.29333333333332,13.209444444444443,2000,10.3,"M2     ",11.3,-0.66,-0.14,HIP47513,47513.0
3307782570688378496,0.001733514349064886,1,5,315,67.65583333333332,13.724166666666667,2000,5.4,"F0V    ",45.7,0.11,-0.02,HIP21036,21036.0
1185619988280226944,0.003779331222777683,1,5,999,221.35083333333333,13.846111111111112,2000,7.87,"K0     ",19.5,-0.23,-0.23,HIP72146,72146.0
