Hip ID,Gaia Source ID,Hip RA,Gaia RA,Hip Dec,Gaia Dec,Hip pmRA,Gaia pmRA,Hip pmDE,Gaia pmDE,Hip Vmag,Gaia Gmag,Gaia Parallax
HIP77725,Gaia DR2 4456127942261895808,238.03416666666664,238.03315833084102,10.874444444444444,10.873432694778307,-0.27,-266.0502950562154,-0.24,-240.81874265913063,9.34,8.708041,47.28602135821886
HIP63608,Gaia DR2 3736865265439463424,195.54416666666665,195.54295326680923,10.958888888888888,10.959233724789891,-0.28,-270.2412168836045,0.02,21.75347404317989,2.85,2.4549925,30.562389884738035
HIP22044,Gaia DR2 3294081521934473216,71.10749999999999,71.10805261070989,11.14611111111111,11.146074179118942,0.1,98.81492305776469,-0.01,-14.880540910091534,5.39,5.3106313,22.00597638185307
HIP50782,Gaia DR2 3883317121883053184,155.53958333333333,155.53962466980076,11.31,11.308844924471355,0.02,21.466473899241482,-0.32,-324.42547160161985,7.78,7.568791,36.84592328116847
HIP26335,Gaia DR2 3339921875389105152,84.12916666666665,84.1291147086989,11.327777777777778,11.327626097315836,0.0,-2.752074166578322,-0.06,-56.648315447473934,8.78,8.2080145,87.4367409733784
HIP42499,Gaia DR2 602079652404802688,129.96166666666664,129.96115256588268,11.5225,11.520517173969338,-0.11,-109.2502861548826,-0.5,-500.5547754726194,7.61,7.3464313,54.1593169089386
HIP94650,Gaia DR2 4312905248400130688,288.8958333333333,288.8968614754129,11.554444444444446,11.55397228950442,0.18,183.44177620647946,-0.17,-172.91825697401615,8.06,7.793939999999999,37.95399034411656
HIP12929,Gaia DR2 25488745411919360,41.572083333333325,41.573147160169746,11.775,11.774328144544175,0.27,263.84918419420694,-0.21,-211.59638882307456,8.59,8.106816,61.91284542990866
HIP17496,Gaia DR2 36590651757883392,56.212916666666665,56.21440493308332,11.92,11.920553119591654,0.32,314.3000282130886,0.13,127.59805436331749,9.13,8.651253,45.60610825745926
HIP29800,Gaia DR2 3331979901042416512,94.11083333333333,94.1112777468866,12.271944444444445,12.27296611815908,0.08,83.10180276437114,0.19,186.2630901581696,5.04,4.887494,51.19295257128239
