Star,RA,Dec,Ep,Vmag,SpType,Dist,pmRA,pmDE,SimbadName
HIP2,0.004166666666666666,-19.498611111111114,2000,9.27,K3V    ,45.6,0.18,0.0,HIP2
HIP169,0.5362499999999999,-68.28055555555555,2000,9.24,M0V    ,15.8,0.21,-0.23,HIP169
HIP171,0.5425,27.08222222222222,2000,5.8,G3V    ,12.4,0.78,-0.92,HIP171
HIP194,0.6237499999999999,8.485277777777776,2000,5.7,F0V    ,37.6,-0.09,-0.05,HIP194
HIP400,1.2345833333333331,23.269444444444442,2000,7.82,G9V    ,25.6,0.38,-0.01,HIP400
HIP428,1.2954166666666664,45.78638888888889,2000,9.95,M2     ,11.4,0.87,-0.15,HIP428
HIP436,1.3237499999999998,-67.8325,2000,8.49,K5V    ,16.0,-0.12,-0.56,HIP436
HIP443,1.3337499999999998,-5.7075000000000005,2000,4.61,K1III  ,39.4,-0.01,0.09,HIP443
GJ1,1.3516666666666663,-37.35722222222223,2000,8.54,M1.5V  ,4.34,5.64,-2.33,GJ1
HIP518,1.5658333333333332,58.43666666666666,2000,5.98,G5V    ,20.2,0.25,0.02,HIP518
HIP522,1.5799999999999998,-49.075,2000,5.7,G1IV...,25.6,0.58,-0.04,HIP522
HIP544,1.653333333333333,29.02138888888889,2000,6.07,K0V    ,13.7,0.38,-0.18,HIP544
GJ1002,1.6824999999999997,-7.539444444444444,2000,13.7,M5.0V  ,4.69,-0.82,-1.87,GJ1002
HIP560,1.7087499999999998,-23.1075,2000,6.19,F2IV   ,39.0,0.1,-0.05,HIP560
HIP677,2.097083333333333,29.090277777777775,2000,2.07,B9p    ,29.7,0.14,-0.16,HIP677
HIP910,2.8162499999999997,-15.467777777777778,2000,4.89,F5V    ,18.8,-0.08,-0.27,HIP910
HIP916,2.837916666666666,58.349722222222226,2000,9.5,K7     ,28.0,0.23,0.02,HIP916
HIP950,2.9333333333333327,-35.13305555555556,2000,5.24,F3/F5V ,21.8,0.17,0.11,HIP950
HIP974,3.0166666666666666,27.098888888888887,2000,8.73,K0     ,25.7,0.28,-0.08,HIP974
HIP1031,3.2095833333333332,-57.9125,2000,7.22,K0V    ,20.3,-0.12,0.04,HIP1031
HIP1086,3.3783333333333334,41.03527777777778,2000,5.71,F0IV   ,35.0,-0.12,-0.15,HIP1086
HIP1242,3.867083333333333,-16.13361111111111,2000,11.4,M:     ,5.21,0.73,-0.62,HIP1242
HIP1292,4.0529166666666665,-79.85111111111111,2000,6.59,G6V    ,17.6,0.43,-0.06,HIP1292
HIP1349,4.2245833333333325,-52.651111111111106,2000,6.84,G2V    ,23.0,0.31,0.18,HIP1349
HIP1368,4.2766666666666655,40.948055555555555,2000,8.99,M0     ,14.9,0.57,0.08,HIP1368
HIP1444,4.4954166666666655,-13.455555555555556,2000,6.51,G2V    ,26.1,0.4,0.0,HIP1444
HIP1463,4.569166666666666,10.202777777777778,2000,10.8,M0     ,16.2,0.0,-0.03,HIP1463
HIP1473,4.582083333333332,36.785,2000,4.51,A2V    ,43.2,-0.07,-0.04,HIP1473
GJ15A,4.595416666666666,44.02305555555555,2000,8.08,M1.5V  ,3.57,2.89,0.41,GJ15A
GJ15B,4.606249999999999,44.026944444444446,2000,11.0,M3.5V  ,3.57,2.89,0.41,GJ15B
HIP1499,4.674583333333333,-8.052777777777779,2000,6.47,G0V    ,23.4,0.42,-0.14,HIP1499
HIP1532,4.7733333333333325,-9.964722222222221,2000,9.9,K7V    ,20.7,-0.04,-0.3,HIP1532
HIP1599,5.0179166666666655,-64.87472222222222,2000,4.23,F9V    ,8.59,1.71,1.17,HIP1599
HIP1692,5.305416666666666,-8.281111111111112,2000,9.19,K2     ,23.0,0.0,0.0,HIP1692
HIP1768,5.598333333333332,-27.0325,2000,8.3,K1V    ,22.4,0.21,-0.4,HIP1768
HIP1803,5.715833333333332,-12.209166666666667,2000,6.39,G3V    ,20.3,0.39,0.06,HIP1803
HIP1837,5.8166666666666655,-33.1675,2000,8.74,K3/K4V ,22.2,-0.03,0.13,HIP1837
HIP1936,6.107916666666666,-27.026666666666667,2000,7.92,K2V    ,18.0,0.67,0.08,HIP1936
HIP2072,6.550833333333332,-43.67972222222222,2000,3.93,A7V    ,23.5,0.11,0.03,HIP2072
HIP2081,6.571249999999999,-42.30583333333333,2000,2.4,K0III..,23.7,0.23,-0.35,HIP2081
HIP2120,6.719583333333333,70.14222222222223,2000,10.5,M0     ,16.2,-0.14,-0.15,HIP2120
HIP2422,7.729583333333332,77.01916666666666,2000,6.18,K0IV   ,39.4,0.34,-0.03,HIP2422
HIP2552,8.122499999999999,67.23555555555555,2000,10.2,M2.5Ve ,10.1,1.74,-0.22,HIP2552
HIP2578,8.182916666666666,-63.03138888888889,2000,5.07,A0V    ,46.4,0.09,-0.05,HIP2578
HIP2711,8.615833333333331,-52.37305555555555,2000,5.57,F3IV-V ,25.6,0.23,0.04,HIP2711
HIP2762,8.812083333333334,-3.592777777777778,2000,5.2,F8V... ,21.0,0.41,-0.04,HIP2762
HIP2852,9.028749999999999,-22.842222222222222,2000,6.06,A5m... ,49.7,-0.07,-0.05,HIP2852
HIP2941,9.33625,-24.76722222222222,2000,5.57,K1V+...,15.5,1.42,-0.02,HIP2941
HIP3092,9.832083333333332,30.860833333333336,2000,3.27,K3III..,31.0,0.12,-0.08,HIP3092
HIP3093,9.840833333333332,21.25027777777778,2000,5.88,K0V    ,11.1,-0.46,-0.37,HIP3093
HIP3170,10.107083333333332,-59.45444444444445,2000,5.89,G1V    ,25.4,0.88,0.44,HIP3170
HIP3206,10.205416666666665,40.18694444444444,2000,7.36,K2V    ,17.2,0.36,-0.67,HIP3206
HIP3418,10.887083333333333,33.84444444444445,2000,8.73,K8     ,20.7,-0.2,-0.36,HIP3418
HIP3419,10.897499999999999,-17.98638888888889,2000,2.04,K0III  ,29.3,0.23,0.03,HIP3419
HIP3497,11.163749999999999,-65.64944444444446,2000,6.55,G3V    ,21.8,0.16,-0.74,HIP3497
HIP3505,11.184999999999997,-22.00611111111111,2000,5.22,F0V    ,27.8,-0.07,0.08,HIP3505
HIP3535,11.270416666666666,1.7852777777777777,2000,8.03,K2V    ,22.0,-0.05,-0.57,HIP3535
HIP3583,11.44,-47.551944444444445,2000,5.8,G5IV   ,14.9,0.18,0.08,HIP3583
HIP3588,11.451249999999998,-41.909166666666664,2000,7.89,K5V com,16.0,0.3,-0.08,HIP3588
HIP3765,12.095833333333333,5.280555555555556,2000,5.74,K2V    ,7.46,0.76,-1.14,HIP3765
HIP3821,12.27625,57.815,2000,3.46,G0V SB ,5.95,1.09,-0.56,HIP3821
HIP3850,12.361666666666665,-23.21222222222222,2000,7.15,G8/K0V ,18.8,0.52,0.12,HIP3850
HIP3876,12.443749999999998,70.44944444444445,2000,7.75,K0     ,21.5,0.37,0.2,HIP3876
HIP3909,12.531666666666665,10.644166666666667,2000,5.17,F7IV-V ,15.4,-0.22,-0.23,HIP3909
HIP3979,12.794999999999998,-5.039166666666667,2000,6.98,G0     ,22.0,0.26,-0.12,HIP3979
HIP3998,12.840833333333332,18.739166666666666,2000,9.22,K2     ,21.8,0.05,-0.27,HIP3998
HIP4022,12.891666666666666,-22.91,2000,8.95,K5V    ,15.1,0.61,-0.28,HIP4022
HIP4148,13.254583333333331,-30.35666666666667,2000,7.15,K2V    ,14.0,0.62,0.03,HIP4148
HIP4151,13.267499999999998,61.12388888888889,2000,4.8,F8V    ,18.5,-0.07,0.17,HIP4151
HIP4288,13.742083333333333,23.628333333333334,2000,5.46,K1IV   ,38.9,0.14,-0.05,HIP4288
HIP4436,14.18833333333333,38.49916666666667,2000,3.86,A5V    ,41.7,0.15,0.04,HIP4436
HIP4454,14.26833333333333,69.04333333333334,2000,9.12,K4V    ,24.1,0.72,-0.23,HIP4454
HIP4473,14.332083333333332,-62.245555555555555,2000,9.5,K7V    ,19.3,1.03,0.13,HIP4473
HIP4569,14.616249999999999,-27.856944444444444,2000,11.7,---    ,13.1,1.29,-0.3,HIP4569
HIP4845,15.587916666666667,10.42361111111111,2000,10.0,K7V    ,21.6,0.02,-0.18,HIP4845
HIP4849,15.6025,5.061388888888889,2000,8.16,K2     ,21.4,0.34,0.22,HIP4849
HIP4856,15.634166666666665,71.67972222222222,2000,9.98,M3.5e  ,8.14,1.75,-0.38,HIP4856
HIP4872,15.662083333333332,62.345,2000,9.56,K5V... ,10.0,0.73,0.09,HIP4872
HIP4907,15.738333333333332,69.22694444444444,2000,7.67,G5     ,25.8,0.22,-0.15,HIP4907
HIP5027,16.100416666666664,-25.604722222222225,2000,9.78,K4/K5V ,25.6,-0.03,-0.32,HIP5027
HIP5110,16.37458333333333,15.389999999999999,2000,8.66,K2V    ,26.5,0.01,-0.2,HIP5110
HIP5247,16.784166666666668,63.941111111111105,2000,9.0,K7V    ,15.0,1.55,0.32,HIP5247
HIP5286,16.907916666666665,22.954722222222223,2000,8.41,K4V    ,20.7,0.1,-0.49,HIP5286
HIP5310,16.98833333333333,20.73888888888889,2000,5.56,A3V    ,49.4,0.09,-0.09,HIP5310
HIP5336,17.06833333333333,54.92027777777778,2000,5.17,G5Vp   ,7.55,3.42,-1.6,HIP5336
HIP5346,17.092499999999998,5.649722222222222,2000,5.51,F0III-I,35.9,-0.25,-0.17,HIP5346
HIP5364,17.147499999999997,10.182222222222222,2000,3.46,K2III  ,36.0,0.22,-0.14,HIP5364
HIP5369,17.16833333333333,17.2425,2000,10.5,K6     ,27.7,-0.06,-0.58,HIP5369
HIP5496,17.595416666666665,-67.44472222222223,2000,9.8,K      ,8.13,0.39,0.57,HIP5496
HIP5521,17.674583333333334,42.931666666666665,2000,7.66,K0     ,26.7,-0.15,-0.2,HIP5521
HIP5542,17.77583333333333,55.14972222222222,2000,4.34,A7Vvar ,42.1,0.23,-0.02,HIP5542
GJ54.1,18.127499999999998,-16.99888888888889,2000,12.1,M4.0V  ,3.71,1.21,0.65,GJ54.1
HIP5663,18.19208333333333,-25.235555555555557,2000,9.55,K4V    ,22.0,0.13,0.02,HIP5663
HIP5799,18.599999999999998,-7.922777777777778,2000,5.14,F5V    ,24.3,0.12,0.28,HIP5799
