Star,RAJ20155,Dec20155,Ep,Vmag,SpType,Dist,pmRA,pmDE,SimbadName
HIP2,0.005379166666666666,-19.498611111111114,2015.5,9.27,K3V    ,45.6,0.18,0.0,HIP2
HIP169,0.5376645833333332,-68.28210486111111,2015.5,9.24,M0V    ,15.8,0.21,-0.23,HIP169
HIP171,0.5477541666666667,27.076024999999998,2015.5,5.8,G3V    ,12.4,0.78,-0.92,HIP171
HIP194,0.6231437499999999,8.48494097222222,2015.5,5.7,F0V    ,37.6,-0.09,-0.05,HIP194
HIP400,1.2371430555555554,23.26937708333333,2015.5,7.82,G9V    ,25.6,0.38,-0.01,HIP400
HIP428,1.3012770833333331,45.78537847222222,2015.5,9.95,M2     ,11.4,0.87,-0.15,HIP428
HIP436,1.3229416666666665,-67.83627222222222,2015.5,8.49,K5V    ,16.0,-0.12,-0.56,HIP436
HIP443,1.3336826388888887,-5.706893750000001,2015.5,4.61,K1III  ,39.4,-0.01,0.09,HIP443
GJ1,1.389658333333333,-37.372917361111114,2015.5,8.54,M1.5V  ,4.34,5.64,-2.33,GJ1
HIP518,1.567517361111111,58.43680138888888,2015.5,5.98,G5V    ,20.2,0.25,0.02,HIP518
HIP522,1.5839069444444442,-49.075269444444444,2015.5,5.7,G1IV...,25.6,0.58,-0.04,HIP522
HIP544,1.6558930555555553,29.02017638888889,2015.5,6.07,K0V    ,13.7,0.38,-0.18,HIP544
GJ1002,1.6769763888888884,-7.552040972222223,2015.5,13.7,M5.0V  ,4.69,-0.82,-1.87,GJ1002
HIP560,1.709423611111111,-23.107836805555557,2015.5,6.19,F2IV   ,39.0,0.1,-0.05,HIP560
HIP677,2.0980263888888886,29.089199999999998,2015.5,2.07,B9p    ,29.7,0.14,-0.16,HIP677
HIP910,2.815711111111111,-15.469596527777778,2015.5,4.89,F5V    ,18.8,-0.08,-0.27,HIP910
HIP916,2.839465972222222,58.34985694444445,2015.5,9.5,K7     ,28.0,0.23,0.02,HIP916
HIP950,2.9344784722222217,-35.13231458333333,2015.5,5.24,F3/F5V ,21.8,0.17,0.11,HIP950
HIP974,3.018552777777778,27.098349999999996,2015.5,8.73,K0     ,25.7,0.28,-0.08,HIP974
HIP1031,3.2087749999999997,-57.91223055555556,2015.5,7.22,K0V    ,20.3,-0.12,0.04,HIP1031
HIP1086,3.377525,41.03426736111111,2015.5,5.71,F0IV   ,35.0,-0.12,-0.15,HIP1086
HIP1242,3.872000694444444,-16.1377875,2015.5,11.4,M:     ,5.21,0.73,-0.62,HIP1242
HIP1292,4.055813194444444,-79.85151527777778,2015.5,6.59,G6V    ,17.6,0.43,-0.06,HIP1292
HIP1349,4.226671527777777,-52.649898611111105,2015.5,6.84,G2V    ,23.0,0.31,0.18,HIP1349
HIP1368,4.280506249999998,40.948594444444446,2015.5,8.99,M0     ,14.9,0.57,0.08,HIP1368
HIP1444,4.49811111111111,-13.455555555555556,2015.5,6.51,G2V    ,26.1,0.4,0.0,HIP1444
HIP1463,4.569166666666666,10.202575694444445,2015.5,10.8,M0     ,16.2,0.0,-0.03,HIP1463
HIP1473,4.581611805555554,36.784730555555555,2015.5,4.51,A2V    ,43.2,-0.07,-0.04,HIP1473
GJ15A,4.614884027777777,44.02581736111111,2015.5,8.08,M1.5V  ,3.57,2.89,0.41,GJ15A
GJ15B,4.625717361111111,44.029706250000004,2015.5,11.0,M3.5V  ,3.57,2.89,0.41,GJ15B
HIP1499,4.677412499999999,-8.053720833333335,2015.5,6.47,G0V    ,23.4,0.42,-0.14,HIP1499
HIP1532,4.773063888888888,-9.966743055555554,2015.5,9.9,K7V    ,20.7,-0.04,-0.3,HIP1532
HIP1599,5.029435416666665,-64.86684097222222,2015.5,4.23,F9V    ,8.59,1.71,1.17,HIP1599
HIP1692,5.305416666666666,-8.281111111111112,2015.5,9.19,K2     ,23.0,0.0,0.0,HIP1692
HIP1768,5.599747916666665,-27.035194444444443,2015.5,8.3,K1V    ,22.4,0.21,-0.4,HIP1768
HIP1803,5.718460416666666,-12.2087625,2015.5,6.39,G3V    ,20.3,0.39,0.06,HIP1803
HIP1837,5.816464583333333,-33.16662430555555,2015.5,8.74,K3/K4V ,22.2,-0.03,0.13,HIP1837
HIP1936,6.112429861111111,-27.026127777777777,2015.5,7.92,K2V    ,18.0,0.67,0.08,HIP1936
HIP2072,6.551574305555555,-43.67952013888888,2015.5,3.93,A7V    ,23.5,0.11,0.03,HIP2072
HIP2081,6.572799305555555,-42.30819097222222,2015.5,2.4,K0III..,23.7,0.23,-0.35,HIP2081
HIP2120,6.718640277777777,70.14121180555556,2015.5,10.5,M0     ,16.2,-0.14,-0.15,HIP2120
HIP2422,7.73187361111111,77.01896458333333,2015.5,6.18,K0IV   ,39.4,0.34,-0.03,HIP2422
HIP2552,8.134220833333332,67.2340736111111,2015.5,10.2,M2.5Ve ,10.1,1.74,-0.22,HIP2552
HIP2578,8.183522916666666,-63.03172569444445,2015.5,5.07,A0V    ,46.4,0.09,-0.05,HIP2578
HIP2711,8.617382638888886,-52.37278611111111,2015.5,5.57,F3IV-V ,25.6,0.23,0.04,HIP2711
HIP2762,8.81484513888889,-3.5930472222222227,2015.5,5.2,F8V... ,21.0,0.41,-0.04,HIP2762
HIP2852,9.02827847222222,-22.842559027777778,2015.5,6.06,A5m... ,49.7,-0.07,-0.05,HIP2852
HIP2941,9.345815277777778,-24.76735694444444,2015.5,5.57,K1V+...,15.5,1.42,-0.02,HIP2941
HIP3092,9.832891666666665,30.860294444444445,2015.5,3.27,K3III..,31.0,0.12,-0.08,HIP3092
HIP3093,9.837734722222221,21.247785416666666,2015.5,5.88,K0V    ,11.1,-0.46,-0.37,HIP3093
HIP3170,10.11301111111111,-59.45148055555556,2015.5,5.89,G1V    ,25.4,0.88,0.44,HIP3170
HIP3206,10.207841666666665,40.18243125,2015.5,7.36,K2V    ,17.2,0.36,-0.67,HIP3206
HIP3418,10.885736111111111,33.842019444444446,2015.5,8.73,K8     ,20.7,-0.2,-0.36,HIP3418
HIP3419,10.899049305555554,-17.986186805555555,2015.5,2.04,K0III  ,29.3,0.23,0.03,HIP3419
HIP3497,11.164827777777777,-65.65442916666667,2015.5,6.55,G3V    ,21.8,0.16,-0.74,HIP3497
HIP3505,11.184528472222219,-22.00557222222222,2015.5,5.22,F0V    ,27.8,-0.07,0.08,HIP3505
HIP3535,11.27007986111111,1.7814381944444444,2015.5,8.03,K2V    ,22.0,-0.05,-0.57,HIP3535
HIP3583,11.441212499999999,-47.551405555555554,2015.5,5.8,G5IV   ,14.9,0.18,0.08,HIP3583
HIP3588,11.453270833333331,-41.909705555555554,2015.5,7.89,K5V com,16.0,0.3,-0.08,HIP3588
HIP3765,12.100952777777778,5.272876388888889,2015.5,5.74,K2V    ,7.46,0.76,-1.14,HIP3765
HIP3821,12.28359236111111,57.81122777777777,2015.5,3.46,G0V SB ,5.95,1.09,-0.56,HIP3821
HIP3850,12.365169444444442,-23.211413888888888,2015.5,7.15,G8/K0V ,18.8,0.52,0.12,HIP3850
HIP3876,12.446242361111109,70.45079166666667,2015.5,7.75,K0     ,21.5,0.37,0.2,HIP3876
HIP3909,12.53018472222222,10.642617361111112,2015.5,5.17,F7IV-V ,15.4,-0.22,-0.23,HIP3909
HIP3979,12.796751388888888,-5.039975,2015.5,6.98,G0     ,22.0,0.26,-0.12,HIP3979
HIP3998,12.841170138888888,18.737347916666664,2015.5,9.22,K2     ,21.8,0.05,-0.27,HIP3998
HIP4022,12.895775694444444,-22.911886111111112,2015.5,8.95,K5V    ,15.1,0.61,-0.28,HIP4022
HIP4148,13.25875972222222,-30.356464583333334,2015.5,7.15,K2V    ,14.0,0.62,0.03,HIP4148
HIP4151,13.26702847222222,61.12503402777778,2015.5,4.8,F8V    ,18.5,-0.07,0.17,HIP4151
HIP4288,13.74302638888889,23.62799652777778,2015.5,5.46,K1IV   ,38.9,0.14,-0.05,HIP4288
HIP4436,14.189343749999997,38.49943611111111,2015.5,3.86,A5V    ,41.7,0.15,0.04,HIP4436
HIP4454,14.27318333333333,69.04178402777778,2015.5,9.12,K4V    ,24.1,0.72,-0.23,HIP4454
HIP4473,14.339021527777776,-62.24467986111111,2015.5,9.5,K7V    ,19.3,1.03,0.13,HIP4473
HIP4569,14.624939583333333,-27.858965277777777,2015.5,11.7,---    ,13.1,1.29,-0.3,HIP4569
HIP4845,15.58805138888889,10.422398611111111,2015.5,10.0,K7V    ,21.6,0.02,-0.18,HIP4845
HIP4849,15.604790277777777,5.062870833333333,2015.5,8.16,K2     ,21.4,0.34,0.22,HIP4849
HIP4856,15.64595486111111,71.67716250000001,2015.5,9.98,M3.5e  ,8.14,1.75,-0.38,HIP4856
HIP4872,15.667000694444443,62.345606249999996,2015.5,9.56,K5V... ,10.0,0.73,0.09,HIP4872
HIP4907,15.739815277777776,69.22593402777777,2015.5,7.67,G5     ,25.8,0.22,-0.15,HIP4907
HIP5027,16.10021458333333,-25.606877777777783,2015.5,9.78,K4/K5V ,25.6,-0.03,-0.32,HIP5027
HIP5110,16.37465069444444,15.388652777777777,2015.5,8.66,K2V    ,26.5,0.01,-0.2,HIP5110
HIP5247,16.79460763888889,63.94326666666666,2015.5,9.0,K7V    ,15.0,1.55,0.32,HIP5247
HIP5286,16.908590277777776,22.95142152777778,2015.5,8.41,K4V    ,20.7,0.1,-0.49,HIP5286
HIP5310,16.98893958333333,20.73828263888889,2015.5,5.56,A3V    ,49.4,0.09,-0.09,HIP5310
HIP5336,17.091370833333333,54.9095,2015.5,5.17,G5Vp   ,7.55,3.42,-1.6,HIP5336
HIP5346,17.09081597222222,5.648577083333333,2015.5,5.51,F0III-I,35.9,-0.25,-0.17,HIP5346
HIP5364,17.14898194444444,10.181279166666666,2015.5,3.46,K2III  ,36.0,0.22,-0.14,HIP5364
HIP5369,17.167929166666664,17.238593055555555,2015.5,10.5,K6     ,27.7,-0.06,-0.58,HIP5369
HIP5496,17.59804375,-67.4408826388889,2015.5,9.8,K      ,8.13,0.39,0.57,HIP5496
HIP5521,17.673572916666668,42.93031944444444,2015.5,7.66,K0     ,26.7,-0.15,-0.2,HIP5521
HIP5542,17.777382638888888,55.1495875,2015.5,4.34,A7Vvar ,42.1,0.23,-0.02,HIP5542
GJ54.1,18.135650694444443,-16.994510416666667,2015.5,12.1,M4.0V  ,3.71,1.21,0.65,GJ54.1
HIP5663,18.192959027777775,-25.235420833333336,2015.5,9.55,K4V    ,22.0,0.13,0.02,HIP5663
HIP5799,18.60080833333333,-7.920891666666667,2015.5,5.14,F5V    ,24.3,0.12,0.28,HIP5799
HIP5842,18.756995833333335,-68.81835,2015.5,7.22,K2V    ,21.1,0.42,0.08,HIP5842
HIP5862,18.80069583333333,-45.53017638888889,2015.5,4.97,F8V    ,15.0,0.66,0.18,HIP5862
HIP5896,18.94526180555555,-68.87495763888889,2015.5,4.25,F6IV   ,20.4,0.41,0.13,HIP5896
HIP5938,19.101709027777776,-12.096944444444444,2015.5,7.55,K0V    ,26.5,0.13,0.0,HIP5938
HIP5944,19.121342361111108,42.93896458333333,2015.5,6.59,G0     ,23.6,-0.11,-0.03,HIP5944
HIP5957,19.16706319444444,25.330715277777777,2015.5,10.1,K5     ,22.7,0.43,-0.1,HIP5957
HIP6069,19.47268958333333,5.46964513888889,2015.5,11.0,M2V:   ,15.3,0.09,-0.63,HIP6069
HIP6290,20.167629861111106,57.33074166666667,2015.5,10.3,K6V:   ,18.9,-0.29,0.44,HIP6290
HIP6344,20.380636111111112,80.15112777777779,2015.5,9.67,K8     ,24.1,0.28,-0.08,HIP6344
HIP6351,20.40251944444444,-41.6594875,2015.5,10.1,K5     ,16.8,1.24,-0.46,HIP6351
HIP6379,20.496047916666665,76.70979791666667,2015.5,7.17,K0     ,16.8,-0.03,-0.03,HIP6379
HIP6414,20.598674999999997,-33.216187500000004,2015.5,10.3,---    ,26.9,0.36,-0.3,HIP6414
HIP6537,21.00529444444444,-8.184470138888889,2015.5,3.6,K0III  ,35.1,-0.08,-0.21,HIP6537
HIP6706,21.563547916666664,19.172289583333335,2015.5,5.35,F2V:var,26.0,-0.03,0.01,HIP6706
HIP6748,21.715067361111107,-13.05632152777778,2015.5,5.51,F0V    ,36.2,0.01,0.01,HIP6748
HIP6813,21.916591666666662,45.40592569444444,2015.5,4.83,F5IV   ,28.3,0.36,-0.11,HIP6813
HIP6917,22.273515277777776,21.721775694444442,2015.5,7.74,K2V    ,23.1,0.46,-0.19,HIP6917
HIP7078,22.808443055555554,70.26390555555557,2015.5,5.82,F6V    ,29.2,0.14,-0.08,HIP7078
HIP7235,23.317652083333336,-24.178855555555558,2015.5,6.97,K0V    ,19.5,0.27,-0.16,HIP7235
HIP7339,23.636190277777775,68.9488638888889,2015.5,6.52,G6V    ,20.9,-0.38,0.12,HIP7339
HIP7387,23.814386111111112,-58.13964652777778,2015.5,6.03,F2V    ,40.4,0.28,-0.03,HIP7387
HIP7513,24.198021527777776,41.40271805555555,2015.5,4.1,F8V    ,13.4,-0.17,-0.38,HIP7513
HIP7535,24.274111805555556,12.14145625,2015.5,5.54,F0V    ,33.8,-0.07,0.01,HIP7535
HIP7576,24.39906180555555,-6.760951388888889,2015.5,7.66,G5     ,23.6,0.17,-0.1,HIP7576
GJ65A,24.77778055555555,-17.946505555555557,2015.5,12.6,M5.5V  ,2.67,3.32,0.56,GJ65A
HIP7734,24.901481944444438,45.87595069444444,2015.5,6.6,G5IV   ,21.3,0.22,-0.23,HIP7734
HIP7748,24.941494444444437,73.70814791666668,2015.5,9.81,---    ,27.2,0.16,-0.11,HIP7748
HIP7751,24.949870138888887,-56.19625416666666,2015.5,5.76,K0V    ,8.14,0.29,0.02,HIP7751
HIP7918,25.451571527777773,42.612120833333336,2015.5,4.96,G2V    ,12.6,0.79,-0.18,HIP7918
HIP7978,25.623228472222216,-53.74157430555556,2015.5,5.52,F8V    ,17.3,0.17,-0.11,HIP7978
HIP7981,25.62214583333333,20.263752777777775,2015.5,5.24,K1V    ,7.46,-0.3,-0.68,HIP7981
HIP8051,25.831337499999997,4.316547222222222,2015.5,10.9,M2V:   ,11.2,-0.42,-0.76,HIP8051
HIP8070,25.91695625,63.81942638888889,2015.5,8.42,K5V    ,13.4,-0.39,-0.58,HIP8070
GJ71,26.005497222222218,-15.931774305555555,2015.5,3.49,G8.5V  ,3.65,-1.72,0.85,GJ71
HIP8209,26.41274444444444,-25.05297152777778,2015.5,5.29,F2IV   ,27.4,0.16,-0.07,HIP8209
HIP8275,26.66145208333333,12.411127777777779,2015.5,8.91,K5     ,23.0,0.03,-0.08,HIP8275
HIP8362,26.94057361111111,63.85081597222222,2015.5,5.63,K0V    ,9.97,0.58,-0.25,HIP8362
HIP8486,27.346691666666665,10.702659722222222,2015.5,6.72,G0     ,23.0,-0.12,-0.1,HIP8486
HIP8497,27.39523958333333,10.685782638888888,2015.5,4.66,F3III  ,23.6,-0.15,-0.09,HIP8497
HIP8543,27.53264722222222,29.464040277777777,2015.5,8.06,K1V    ,26.7,-0.04,-0.06,HIP8543
HIP8768,28.21065833333333,-22.434722222222224,2015.5,8.89,K5/M0V ,11.0,0.84,0.0,HIP8768
HIP8867,28.525147222222216,66.17516805555556,2015.5,8.47,G5     ,22.1,-0.04,-0.14,HIP8867
HIP8903,28.660673611111104,20.80703680555556,2015.5,2.64,A5V... ,18.2,0.1,-0.11,HIP8903
HIP9007,28.994163888888885,-51.60700277777778,2015.5,3.69,G5IV   ,17.4,0.68,0.28,HIP9007
