,Dec20155,Dist,Ep,RAJ20155,SimbadName,SpType,Star,Vmag,pmDE,pmRA,source_id
0,-37.3729173611,4.34,2015.5,1.38965833333,GJ1,M1.5V  ,GJ1,8.54,-2.33,5.64,2306965202564506752
1,-7.55204097222,4.69,2015.5,1.67697638889,GJ1002,M5.0V  ,GJ1002,13.7,-1.87,-0.82,2441630500517079808
2,-64.8668409722,8.59,2015.5,5.02943541667,HIP1599,F9V    ,HIP1599,4.23,1.17,1.71,4900108950847893376
3,67.2340736111,10.1,2015.5,8.13422083333,HIP2552,M2.5Ve ,HIP2552,10.2,-0.22,1.74,527956488339113600
4,10.6426173611,15.4,2015.5,12.5301847222,HIP3909,F7IV-V ,HIP3909,5.17,-0.23,-0.22,2473608009504466688
5,10.4223986111,21.6,2015.5,15.5880513889,HIP4845,K7V    ,HIP4845,10.0,-0.18,0.02,2473055951588089088
6,71.6771625,8.14,2015.5,15.6459548611,HIP4856,M3.5e  ,HIP4856,9.98,-0.38,1.75,533621859441169920
7,10.1812791667,36.0,2015.5,17.1489819444,HIP5364,K2III  ,HIP5364,3.46,-0.14,0.22,2470140321628277504
8,10.7026597222,23.0,2015.5,27.3466916667,HIP8486,G0     ,HIP8486,6.72,-0.1,-0.12,2461045711199481472
9,10.6857826389,23.6,2015.5,27.3952395833,HIP8497,F3III  ,HIP8497,4.66,-0.09,-0.15,2461043306017773696
10,10.2406055556,33.9,2015.5,29.2875076389,HIP9094,G5     ,HIP9094,6.42,-0.24,-0.37,2462426800883134336
11,10.7769611111,29.8,2015.5,35.5072604167,HIP11029,F0V    ,HIP11029,5.43,-0.08,0.15,5175014311223513984
12,10.4854208333,42.9,2015.5,55.8907659722,HIP17395,A5m    ,HIP17395,5.59,-0.02,-0.01,5116018880964324096
13,10.9328701389,26.1,2015.5,72.0051222222,HIP22288,K7V    ,HIP22288,9.53,-0.11,0.08,3181588219554237184
14,-45.05693125,3.91,2015.5,77.9629513889,GJ191,M2.0V  ,GJ191,8.85,-5.73,6.5,4810594479417465600
15,-31.0217402778,14.9,2015.5,90.0786902778,HIP28442,K3/K4V ,HIP28442,7.85,1.02,-0.38,2891185070988385152
16,10.5030875,15.3,2015.5,106.072941667,HIP34104,M5     ,HIP34104,10.9,-0.82,-0.12,3046530292874936448
17,10.4041493056,27.2,2015.5,156.063969444,HIP50944,K4.5   ,HIP50944,9.98,-0.25,0.28,3767851972716355712
18,10.2294194444,12.4,2015.5,156.290352083,HIP51007,M0     ,HIP51007,10.1,0.12,-0.69,3767878708888402816
19,43.5327881944,4.86,2015.5,166.339460417,GJ412A,M1.0V  ,GJ412A,8.77,0.95,-4.41,778947814402405120
20,10.9548076389,20.8,2015.5,167.788251389,HIP54651,K5V    ,HIP54651,9.23,0.59,-0.94,3566643651231641600
21,-18.1497826389,20.6,2015.5,168.839238889,HIP54966,K7V    ,HIP54966,9.97,-0.71,0.32,3558078971047964800
22,65.8476013889,9.09,2015.5,170.000128472,HIP55360,M1Vvar ,HIP55360,9.31,0.18,-2.95,1057318835428596096
23,10.4426,12.9,2015.5,180.186359722,HIP58576,K0IV   ,HIP58576,5.54,-0.48,0.14,3575733210781078016
24,10.30541875,22.5,2015.5,183.79436875,HIP59750,F5V    ,HIP59750,6.11,-1.01,0.03,3581001280225616128
25,10.6597638889,21.8,2015.5,230.6525125,HIP75253,K2V    ,HIP75253,7.97,-0.2,-0.06,6316161317607999232
26,10.0628951389,28.9,2015.5,233.546671528,HIP76219,K1IV   ,HIP76219,4.61,-0.23,0.31,6316829270922140032
27,75.9876583333,13.0,2015.5,235.324420833,HIP76832,M4     ,HIP76832,12.2,-0.76,0.78,1706907487620624000
28,10.8939638889,15.5,2015.5,236.850277083,HIP77349,K:...  ,HIP77349,11.2,-0.36,-0.33,6268621389764361344
29,-57.5797756944,13.7,2015.5,243.446774306,HIP79537,K0V    ,HIP79537,7.53,-1.41,-0.85,5835113573101867520
30,-57.3279826389,5.81,2015.5,266.634955556,HIP86990,M5     ,HIP86990,10.7,-1.35,-1.12,5918660719981686144
31,59.642125,3.52,2015.5,280.685624306,GJ725A,M3.0V  ,GJ725,8.9,1.8,-1.33,2154880616773521408
32,69.6493902778,5.76,2015.5,293.094041667,HIP96100,K0V    ,HIP96100,4.67,-1.74,0.6,2261614264930275072
33,10.7635354167,26.4,2015.5,297.694797917,HIP97650,F0V    ,HIP97650,5.38,0.03,-0.03,4190374813602603392
34,-66.18955625,6.1,2015.5,302.189817361,HIP99240,G5IV-Vv,HIP99240,3.55,-1.13,1.21,6427464325637241728
35,10.44085625,14.7,2015.5,314.194031944,HIP103388,M4     ,HIP103388,11.3,-1.11,-0.02,6890353330746858368
36,38.7711263889,3.49,2015.5,316.752605556,GJ820A,K5.0V  ,GJ820A,5.2,3.26,4.16,1872046574983507456
37,38.7628180556,3.49,2015.5,316.758102083,GJ820B,K7.0V  ,GJ820B,6.03,3.14,4.11,1872046574983497216
38,-38.87496875,3.94,2015.5,319.291790278,GJ825,K9.0V  ,GJ825,6.67,-1.15,-3.26,6583272171335359360
39,-56.8029430556,3.62,2015.5,330.867091667,GJ845A,K4.0V  ,GJ845A,4.68,-2.54,3.96,6412595290592307840
40,-15.2868555556,3.45,2015.5,339.655063889,GJ866,M5.0V  ,GJ866,13.0,2.24,2.36,2596740426912781696
41,-35.84381875,3.27,2015.5,346.512270139,GJ887,M1.0V  ,GJ887,7.34,1.33,6.77,6553614253923452800
42,10.7659180556,19.4,2015.5,350.773447917,HIP115445,K2V    ,HIP115445,7.8,0.26,0.45,2436812303124645504
43,44.1641548611,3.16,2015.5,355.478455556,GJ905,M5.5V  ,GJ905,12.2,-1.61,0.08,1926461164913660160
