#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-06-04T23:29:25 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b15cb297d6b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/PASP/129/E4501&tab:{J/PASP/129/E4501/table1}&key:source=J/PASP/129/E4501&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/PASP/129/E4501/table1
#-order=I
#-out=Star
#-out=RAJ2000
#-out=DEJ2000
#-out=Ep
#-out=Vmag
#-out=SpType
#-out=Dist
#-out=pmRA
#-out=pmDE
#-out=SimbadName
#

#RESOURCE=yCat_61303501
#Name: J/PASP/129/E4501
#Title: Search for extraterrestrial intelligence (Isaacson+, 2017)
#Table	J_PASP_129_E4501_table1:
#Name: J/PASP/129/E4501/table1
#Title: Stellar Targets
#Column	Star	(A9)	Star name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Ep	(I4)	[2000] Epoch	[ucd=time.epoch]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	SpType	(a7)	Spectral type	[ucd=src.spType]
#Column	Dist	(F5.2)	Distance	[ucd=pos.distance;pos.heliocentric]
#Column	pmRA	(F5.2)	Proper motion along RA, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F5.2)	Proper motion along DE	[ucd=pos.pm;pos.eq.dec]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
Star|RAJ2000|DEJ2000|Ep|Vmag|SpType|Dist|pmRA|pmDE|SimbadName
 |"h:m:s"|"d:m:s"|yr|mag| |pc|arcsec/yr|arcsec/yr|
---------|----------|---------|----|-----|-------|-----|-----|-----|------------------------
HIP2     |00 00 01.0|-19 29 55|2000| 9.27|K3V    |45.60| 0.18| 0.00|HIP2
HIP169   |00 02 08.7|-68 16 50|2000| 9.24|M0V    |15.80| 0.21|-0.23|HIP169
HIP171   |00 02 10.2|+27 04 56|2000| 5.80|G3V    |12.40| 0.78|-0.92|HIP171
HIP194   |00 02 29.7|+08 29 07|2000| 5.70|F0V    |37.60|-0.09|-0.05|HIP194
HIP400   |00 04 56.3|+23 16 10|2000| 7.82|G9V    |25.60| 0.38|-0.01|HIP400
HIP428   |00 05 10.9|+45 47 11|2000| 9.95|M2     |11.40| 0.87|-0.15|HIP428
HIP436   |00 05 17.7|-67 49 57|2000| 8.49|K5V    |16.00|-0.12|-0.56|HIP436
HIP443   |00 05 20.1|-05 42 27|2000| 4.61|K1III  |39.40|-0.01| 0.09|HIP443
GJ1      |00 05 24.4|-37 21 26|2000| 8.54|M1.5V  | 4.34| 5.64|-2.33|GJ1
HIP518   |00 06 15.8|+58 26 12|2000| 5.98|G5V    |20.20| 0.25| 0.02|HIP518
HIP522   |00 06 19.2|-49 04 30|2000| 5.70|G1IV...|25.60| 0.58|-0.04|HIP522
HIP544   |00 06 36.8|+29 01 17|2000| 6.07|K0V    |13.70| 0.38|-0.18|HIP544
GJ1002   |00 06 43.8|-07 32 22|2000|13.70|M5.0V  | 4.69|-0.82|-1.87|GJ1002
HIP560   |00 06 50.1|-23 06 27|2000| 6.19|F2IV   |39.00| 0.10|-0.05|HIP560
HIP677   |00 08 23.3|+29 05 25|2000| 2.07|B9p    |29.70| 0.14|-0.16|HIP677
HIP910   |00 11 15.9|-15 28 04|2000| 4.89|F5V    |18.80|-0.08|-0.27|HIP910
HIP916   |00 11 21.1|+58 20 59|2000| 9.50|K7     |28.00| 0.23| 0.02|HIP916
