,Source Name,Association,RA,Dec,Gal l,Gal b,Flux 1-100 GeV(photons cm-2s-1),+/-,Spectral Index,+/-.1,Variability Index,Classification,Light Curve(Likelihood),Spectrum,DataAccess
0,3FGL J0001.6+3535,,0.4043,35.5905,111.661,-26.1885,2.6812e-10,6.93039e-11,2.35052,0.185889,32.3943,Unassociated,Link,Link,Link
1,3FGL J0003.4+3100,,0.8576,31.0085,110.964,-30.7451,3.13931e-10,6.98302e-11,2.55384,0.1309,38.536,Unassociated,Link,Link,Link
2,3FGL J0008.3+1456,,2.0881,14.9336,107.679,-46.6581,4.11565e-10,7.77828e-11,2.26955,0.128346,34.4397,Unassociated,Link,Link,Link
3,3FGL J0017.1+1445,,4.2937,14.7612,110.672,-47.2933,2.45275e-10,6.93883e-11,1.88303,0.177631,36.1434,Unassociated,Link,Link,Link
4,3FGL J0031.2-2320,,7.813,-23.3427,71.5023,-84.0711,2.37256e-10,6.10738e-11,2.13911,0.170399,33.5063,Unassociated,Link,Link,Link
5,3FGL J0031.6+0938,,7.9225,9.6478,114.845,-52.9135,2.34514e-10,6.16888e-11,2.65719,0.163768,28.8198,Unassociated,Link,Link,Link
6,3FGL J0032.5+3912,,8.1464,39.2131,118.951,-23.5128,2.37506e-10,6.06867e-11,2.56391,0.166556,35.1931,Unassociated,Link,Link,Link
7,3FGL J0049.0+4224,,12.253,42.413,122.455,-20.4565,2.61364e-10,6.98164e-11,1.76537,0.166987,35.6061,Unassociated,Link,Link,Link
8,3FGL J0112.9-7506,,18.2438,-75.1053,301.074,-41.9452,2.92153e-10,6.4858e-11,2.17215,0.170934,39.586,Unassociated,Link,Link,Link
9,3FGL J0114.8+1917,,18.7099,19.2947,130.52,-43.2319,2.33113e-10,6.06934e-11,2.31024,0.230573,38.4403,Unassociated,Link,Link,Link
10,3FGL J0121.8-3917,,20.4574,-39.2861,277.343,-76.2937,1.96488e-10,5.7963e-11,1.79941,0.196947,37.096,Unassociated,Link,Link,Link
11,3FGL J0132.1-5340,,23.0448,-53.6735,289.86,-62.4086,2.42427e-10,5.99514e-11,2.3194,0.192634,34.9,Unassociated,Link,Link,Link
12,3FGL J0133.2-4737,,23.307,-47.6199,283.941,-67.938,1.57639e-10,5.24105e-11,2.70747,0.199812,33.4282,Unassociated,Link,Link,Link
13,3FGL J0203.6+1148,,30.9169,11.8028,149.514,-47.3066,3.15747e-10,7.87787e-11,2.71452,0.15663,33.051,Unassociated,Link,Link,Link
14,3FGL J0216.0+0300,,34.0134,3.0164,160.324,-53.5976,2.38503e-10,7.00863e-11,2.01377,0.221717,37.6005,Unassociated,Link,Link,Link
15,3FGL J0221.2+2518,,35.3203,25.3056,147.333,-33.2737,3.3216e-10,7.72456e-11,1.93567,0.168038,38.0357,Unassociated,Link,Link,Link
16,3FGL J0226.7-4747,,36.6951,-47.7837,267.303,-62.2162,1.66006e-10,5.43181e-11,2.91865,0.18653,38.049,Unassociated,Link,Link,Link
17,3FGL J0234.2-0629,,38.5642,-6.4981,177.423,-58.0344,2.39873e-10,6.57883e-11,1.81339,0.19732,35.2506,Unassociated,Link,Link,Link
18,3FGL J0239.0+2555,,39.7679,25.92,151.271,-30.9624,2.5822e-10,7.67005e-11,2.06187,0.24757,26.9644,Unassociated,Link,Link,Link
19,3FGL J0251.1-1829,,42.7971,-18.4857,201.866,-61.1657,1.80755e-10,5.70714e-11,1.61989,0.199222,37.6787,Unassociated,Link,Link,Link
20,3FGL J0258.9+0552,,44.7397,5.8759,170.738,-44.8362,6.09765e-10,9.9531e-11,2.12462,0.113867,38.931,Unassociated,Link,Link,Link
21,3FGL J0308.4-2852,,47.103,-28.8734,224.367,-59.8184,1.93227e-10,6.11838e-11,2.53695,0.246384,26.1036,Unassociated,Link,Link,Link
22,3FGL J0312.7-2222,,48.1757,-22.3709,212.36,-57.6824,2.30612e-10,6.00029e-11,1.62477,0.159984,35.8184,Unassociated,Link,Link,Link
23,3FGL J0333.6+0233,,53.4123,2.5635,182.214,-40.9306,3.63981e-10,8.13159e-11,2.07103,0.168033,38.3313,Unassociated,Link,Link,Link
24,3FGL J0340.4-2423,,55.1044,-24.3871,218.532,-52.0295,2.4962e-10,6.57135e-11,2.08847,0.185553,28.9695,Unassociated,Link,Link,Link
25,3FGL J0342.8+1321,,55.7109,13.3623,174.19,-31.9663,2.74482e-10,8.94657e-11,1.90912,0.190101,38.9595,Unassociated,Link,Link,Link
26,3FGL J0348.1+4431,,57.0475,44.5292,153.032,-7.76882,4.18942e-10,1.02403e-10,2.27601,0.145595,29.8807,Unassociated,Link,Link,Link
27,3FGL J0351.0-2816,,57.769,-28.2767,225.377,-50.4533,2.19523e-10,6.0737e-11,2.04263,0.218901,38.4395,Unassociated,Link,Link,Link
28,3FGL J0351.4-3248,,57.8537,-32.8005,232.485,-50.8998,1.52545e-10,5.11034e-11,2.79707,0.194141,30.3114,Unassociated,Link,Link,Link
29,3FGL J0401.0-5359,,60.2591,-53.9863,264.138,-46.3061,1.87797e-10,5.29462e-11,2.22342,0.26997,29.3081,Unassociated,Link,Link,Link
30,3FGL J0415.7-4351,,63.9408,-43.8649,249.109,-45.9784,3.55697e-10,6.92413e-11,2.48317,0.115175,39.1071,Unassociated,Link,Link,Link
31,3FGL J0426.3+3510,,66.5876,35.1703,164.885,-9.65741,4.51761e-10,1.05772e-10,2.48868,0.134388,36.3705,Unassociated,Link,Link,Link
32,3FGL J0427.9-6704,,66.9821,-67.0777,279.135,-38.5445,6.72039e-10,7.95707e-11,2.45722,0.0732055,37.866,Unassociated,Link,Link,Link
33,3FGL J0447.1-2540,,71.7949,-25.6757,225.602,-37.6949,3.52849e-10,6.93385e-11,2.50135,0.131092,38.6956,Unassociated,Link,Link,Link
