"Source Name","Association","RA","Dec","Gal l","Gal b","Flux 1-100 GeV(photons cm-2s-1)","+/-","Spectral Index","+/-","Variability Index","Classification","Light Curve(Likelihood)","Spectrum","DataAccess"
"3FGL J0000.1+6545",,"0.0377","65.7517","117.694","3.40296","1.01596e-9","1.57592e-10","2.41096","0.0823208","40.7535","Unassociated","Link","Link","Link"
"3FGL J0000.2-3738",,"0.0612","-37.6484","345.411","-74.9468","2.03866e-10","5.42253e-11","1.86673","0.179395","44.8453","Unassociated","Link","Link","Link"
"3FGL J0001.6+3535",,"0.4043","35.5905","111.661","-26.1885","2.6812e-10","6.93039e-11","2.35052","0.185889","32.3943","Unassociated","Link","Link","Link"
"3FGL J0002.0-6722",,"0.524","-67.3703","310.139","-49.0618","2.92117e-10","6.36624e-11","1.94606","0.158511","46.125","Unassociated","Link","Link","Link"
"3FGL J0002.6+6218",,"0.6745","62.3006","117.302","-0.0371162","2.84488e-9","2.10839e-10","2.08626","0.11109","48.0235","Unassociated","Link","Link","Link"
"3FGL J0003.4+3100",,"0.8576","31.0085","110.964","-30.7451","3.13931e-10","6.98302e-11","2.55384","0.1309","38.536","Unassociated","Link","Link","Link"
"3FGL J0003.5+5721",,"0.8903","57.3597","116.486","-4.9116","4.71647e-10","9.65475e-11","2.18306","0.1258","31.1214","Unassociated","Link","Link","Link"
"3FGL J0004.2+6757",,"1.0551","67.9593","118.509","5.494","8.15867e-10","1.39866e-10","2.49684","0.0938616","34.8146","Unassociated","Link","Link","Link"
"3FGL J0004.2+0843",,"1.0574","8.7274","103.599","-52.3633","2.68393e-10","7.1661e-11","2.05044","0.190928","45.3317","Unassociated","Link","Link","Link"
"3FGL J0006.2+0135",,"1.5718","1.5853","100.401","-59.2969","2.99109e-10","6.77384e-11","2.1869","0.167244","45.5663","Unassociated","Link","Link","Link"
"3FGL J0006.6+4618",,"1.6512","46.3054","114.908","-15.8666","3.095e-10","7.40653e-11","2.41726","0.188381","48.8199","Unassociated","Link","Link","Link"
"3FGL J0007.4+1742",,"1.8693","17.711","108.332","-43.9109","2.73808e-10","6.74118e-11","2.31195","0.171426","46.5711","Unassociated","Link","Link","Link"
"3FGL J0007.9+4006",,"1.9829","40.1068","113.977","-22.0072","3.00033e-10","7.07292e-11","2.2756","0.16129","44.3896","Unassociated","Link","Link","Link"
"3FGL J0008.3+1456",,"2.0881","14.9336","107.679","-46.6581","4.11565e-10","7.77828e-11","2.26955","0.128346","34.4397","Unassociated","Link","Link","Link"
"3FGL J0008.5+6853",,"2.1409","68.887","119.067","6.33763","1.04543e-9","1.80654e-10","2.4229","0.229519","35.0343","Unassociated","Link","Link","Link"
"3FGL J0008.7+6558",,"2.1913","65.9677","118.601","3.45551","7.1915e-10","1.48612e-10","2.50784","0.20211","42.767","Unassociated","Link","Link","Link"
"3FGL J0010.5-1425",,"2.6289","-14.4195","84.006","-74.1117","2.49257e-10","6.33322e-11","2.30835","0.149078","56.522","Unassociated","Link","Link","Link"
"3FGL J0014.3-0455",,"3.5858","-4.9196","99.5901","-66.0958","4.40204e-10","8.55187e-11","2.50405","0.128261","54.3825","Unassociated","Link","Link","Link"
"3FGL J0016.5+1713",,"4.1354","17.221","111.141","-44.8503","2.41524e-10","6.41973e-11","2.43812","0.158066","52.8837","Unassociated","Link","Link","Link"
"3FGL J0017.1+1445",,"4.2937","14.7612","110.672","-47.2933","2.45275e-10","6.93883e-11","1.88303","0.177631","36.1434","Unassociated","Link","Link","Link"
"3FGL J0020.9+0323",,"5.2311","3.3953","108.198","-58.6008","2.05527e-10","6.23125e-11","1.6399","0.178542","54.4146","Unassociated","Link","Link","Link"
"3FGL J0022.7+4651",,"5.6872","46.8528","117.843","-15.7352","1.88253e-10","6.25339e-11","2.78427","0.192955","38.1622","Unassociated","Link","Link","Link"
