Ind,source_id,ref_epoch,ra,ra_error,decl,dec_error,parallax,parallax_error,parallax_over_error,frac_para_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_obs_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,phot_g_n_obs,phot_g_mean_flux,phto_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_G,G_rp,radial_velocity,radial_velocity_error,l,b,ecl_lat,ecl_lon,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,radius_val,radius_percentile_upper,radius_percentile_lower,lum_val,lum_percentile_upper,lum_percentile_lower,dist.c,fwhm_lo.c,fwhm_hi.c,sd.c,teff_val.c,sptype.c,project,name
80563,5057376119059920384,2015.5,52.9414,0.0190786,-28.3741,0.0320307,14.1117,0.0396068,356.296,0.00280666,64.9118,0.0430614,-31.3546,0.0613576,537.0,1046.34,0.219422,12.005,18.0,568.0,21625.3,5.85059,3696.27,14.851,16.1934,13.7094,2.48398,1.34242,1.14156,0.0,0.0,224.501,-54.6705,-45.6686,40.6442,100001.0,3493.33,3354.0,3944.02,0.047,0.0199,0.2214,0.0,0.0,0.0,0.0,0.0,0.0,70.8641,70.6307,71.099,0.198883,0.0,M2.5V,LADUMA,LADUMA
81506,5057486860496451840,2015.5,53.1755,0.0118481,-27.9505,0.0198646,14.0525,0.0254658,551.817,0.0018122,100.768,0.0298307,66.8515,0.0419542,724.0,1497.58,0.168505,15.7244,18.0,775.0,80811.0,27.6633,2921.24,13.4197,14.5784,12.3572,2.22124,1.15873,1.06251,15.0625,0.699887,223.828,-54.4069,-45.3409,41.1272,100001.0,3991.11,3776.2,4160.17,0.049,0.014,0.106,0.0,0.0,0.0,0.0,0.0,0.0,71.1624,71.0109,71.3145,0.128952,0.0,K8V,LADUMA,LADUMA
100299,5057325404086137984,2015.5,53.248,0.0122254,-28.4649,0.019216,13.0726,0.0261854,499.233,0.00200307,-46.2362,0.0282352,-74.3538,0.0418999,451.0,719.091,0.116087,5.02223,18.0,477.0,57615.4,11.9453,4823.27,13.787,14.8785,12.7555,2.12307,1.0915,1.03157,0.0,0.0,224.719,-54.4154,-45.8462,40.9628,100001.0,3989.33,3688.18,4293.5,0.1458,0.007,0.338,0.0,0.0,0.0,0.0,0.0,0.0,76.4965,76.3165,76.6773,0.153219,0.0,K8V,LADUMA,LADUMA
118932,5057422161109154688,2015.5,53.4269,0.0238661,-28.2901,0.0395851,12.3064,0.0507956,242.274,0.00412756,31.4756,0.0634927,34.0494,0.0976361,468.0,907.672,0.275899,12.0482,18.0,509.0,11928.6,4.58506,2601.63,15.4969,16.914,14.3235,2.59058,1.41716,1.17342,0.0,0.0,224.458,-54.2357,-45.7355,41.2604,100001.0,3735.9,3265.75,4275.7,0.007,0.0,0.1931,0.0,0.0,0.0,0.0,0.0,0.0,81.2609,80.8679,81.6578,0.335408,0.0,M1V,LADUMA,LADUMA
185138,5057379142716889984,2015.5,53.0052,0.0155629,-28.2756,0.0267897,10.512,0.0329849,318.692,0.00313782,43.6647,0.0381369,-7.23092,0.0549403,584.0,1228.01,0.212422,14.6175,19.0,616.0,31836.2,6.65944,4780.6,14.4311,15.6833,13.3249,2.35845,1.25227,1.10617,0.0,0.0,224.346,-54.6015,-45.5953,40.7679,100002.0,3573.38,3410.0,3976.58,0.3067,0.1809,0.4581,0.0,0.0,0.0,0.0,0.0,0.0,95.1308,94.7806,95.4836,0.298494,0.0,M2V,LADUMA,LADUMA
449775,5057380448386953728,2015.5,52.8903,0.025965,-28.285,0.0463155,7.59914,0.0600739,126.496,0.00790536,23.5184,0.0619463,1.54002,0.0946972,562.0,866.953,0.256295,6.84433,19.0,605.0,6777.66,2.79729,2422.94,16.1107,17.5638,14.9242,2.63956,1.45311,1.18645,0.0,0.0,224.338,-54.703,-45.5695,40.6275,100001.0,3772.52,3398.64,4000.53,0.0215,0.0156,0.2416,0.0,0.0,0.0,0.0,0.0,0.0,131.61,130.396,132.846,1.04061,0.0,M0.5V,LADUMA,LADUMA
1042605,5057488475404146304,2015.5,53.3064,0.0297205,-27.8444,0.0486219,5.49191,0.0645399,85.0932,0.0117518,6.86092,0.0764342,49.4295,0.104317,692.0,934.814,0.266414,6.00344,19.0,736.0,4358.09,1.75204,2487.43,16.5901,18.0236,15.4047,2.61888,1.43346,1.18542,0.0,0.0,223.677,-54.2769,-45.2801,41.333,100001.0,3584.27,3238.25,3908.77,0.232,0.1757,0.6051,0.0,0.0,0.0,0.0,0.0,0.0,182.133,179.646,184.689,2.14145,0.0,M2V,LADUMA,LADUMA
1068256,5057476380776254592,2015.5,53.1723,0.0386698,-28.0473,0.0605806,5.43846,0.0784188,69.3515,0.0144193,-5.29404,0.100955,-148.206,0.133414,609.0,787.267,0.247729,3.11753,17.0,653.0,2991.42,1.67326,1787.78,16.9987,18.4235,15.819,2.60451,1.42483,1.17968,0.0,0.0,223.992,-54.4237,-45.4309,41.0766,100001.0,3678.0,3341.75,4044.87,0.1175,0.0319,0.2303,0.0,0.0,0.0,0.0,0.0,0.0,183.947,180.874,187.125,2.65445,0.0,M1V,LADUMA,LADUMA
1246026,5057430544885308544,2015.5,53.5081,0.0552955,-28.1664,0.0904394,5.10963,0.112376,45.469,0.021993,35.7235,0.137775,24.8755,0.208571,479.0,726.264,0.471822,6.52411,18.0,513.0,2064.34,1.51145,1365.81,17.4014,19.0086,16.1585,2.8501,1.60714,1.24295,0.0,0.0,224.266,-54.1475,-45.6434,41.4168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.885,190.934,201.099,4.31634,3829.85,M0.5V,LADUMA,LADUMA
1315560,5057494144760948224,2015.5,52.8411,0.00951514,-28.0111,0.0163566,4.99695,0.0213056,234.536,0.00426373,24.0558,0.0249834,-0.55228,0.038787,675.0,573.11,0.0,0.0,18.0,719.0,44612.8,6.17463,7225.18,14.0647,14.8492,13.2016,1.64762,0.78447,0.863149,0.0,0.0,223.858,-54.7079,-45.2973,40.7029,100002.0,4405.32,4259.0,4618.65,0.115,0.0,0.5071,0.527098,0.563939,0.479531,0.0942735,0.0953447,0.0932022,200.129,199.129,201.139,0.853295,0.0,K5V,LADUMA,LADUMA
