NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,PX,POSEPOCH,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,RAJD,DECJD,P0,F0,F1,F2,F3,PEPOCH,DM,DM1,RM,W50,W10,UNITS,TAU_SC,S400,S1400,S2000,BINARY,T0,PB,A1,OM,ECC,TASC,EPS1,EPS2,Minimum,Median,BINCOMP,DIST,DIST_DM,DM*sin(b),ZZ,XX,YY,ASSOC,SURVEY,OSURVEY,DISC.,PSR,NGLT,R_LUM,R_LUM14,AGE,BSURF,EDOT,EDOTD2,PMTOT,VTRANS,P1_I,AGE_I,BSURF_I,B_LC
B0031-07,J0034-0721,00:34:08.8,-07:21:53.4,10.370,-11.130,0.930,52275.00,4.9,-10.147,*,*,110.42,-69.815,8.53696,-7.364836,0.942951,1.0605,-4.591e-16,2.100e-28,*,46635.00,10.92,*,9.89,56.700,104.500,TDB,0.00,52.00,11.00,*,*,*,*,*,*,*,*,*,*,*,*,*,1.03,1.00,-10.25,-0.97,0.33,8.62,*,"mol1,pks70",4001,1969,*,*,5.52e+01,1.17e+01,3.66e+07,6.28e+11,1.92e+31,1.81e+31,15.212,74.285,4.08e-16,3.66e+07,6.27e+11,7.02e+00
J0134-2937,J0134-2937,01:34:18.6,-29:37:17.0,13.000,-11.000,*,54428.00,8.735,-36.285,*,*,230.251,-80.25,23.577843,-29.621401,0.136962,7.301316,-4.178e-15,*,*,54428.00,21.81,*,13.00,6.500,12.000,TDB,*,9.00,2.40,*,*,*,*,*,*,*,*,*,*,*,*,*,25.00,25.00,-21.49,-24.64,-3.26,11.21,*,pks70,4000,1996,*,*,5.62e+03,1.50e+03,2.77e+07,1.05e+11,1.20e+33,1.93e+30,17.029,2018.393,7.60e-17,2.86e+07,1.03e+11,3.83e+02
B0149-16,J0152-1637,01:52:10.8,-16:37:52.9,3.100,-27.000,*,48227.00,19.501,-26.218,*,*,179.305,-72.456,28.045223,-16.631386,0.832742,1.200853,-1.874e-15,-4.980e-27,*,48227.00,11.93,*,6.60,17.800,26.100,TDB,*,20.00,1.50,*,*,*,*,*,*,*,*,*,*,*,*,*,0.92,0.92,-11.37,-0.88,0.0,8.78,*,"mol2,pks70",4010,1978,*,*,1.69e+01,1.27e+00,1.02e+07,1.05e+12,8.88e+31,1.05e+32,27.177,118.539,1.30e-15,1.02e+07,1.05e+12,1.71e+01
B0254-53,J0255-5304,02:55:56.2,-53:04:21.3,0.000,70.000,*,46916.00,8.528,-64.079,*,*,269.862,-55.31,43.984254,-53.0726,0.447708,2.233596,-1.527e-16,*,*,46800.00,15.90,*,32.00,9.000,12.000,TDB,*,17.00,3.00,*,*,*,*,*,*,*,*,*,*,*,*,*,1.51,1.51,-13.07,-1.24,-0.86,8.5,*,"mol1,mol2,pks70,ghrss",4000004011,1969,*,*,3.88e+01,6.84e+00,2.32e+08,1.18e+11,1.35e+31,5.90e+30,70.000,501.120,2.26e-17,3.15e+08,1.02e+11,1.24e+01
B0301+19,J0304+1932,03:04:33.1,+19:32:51.4,6.000,-37.000,*,49289.00,49.2,2.104,*,*,161.135,-33.27,46.137979,19.547611,1.387584,0.720677,-6.727e-16,-2.450e-27,*,49289.00,15.66,*,-8.30,58.400,73.400,TDB,0.00,27.00,3.00,*,*,*,*,*,*,*,*,*,*,*,*,*,0.74,0.74,-8.59,-0.41,0.2,9.09,*,"misc,mol2,gb4",410010,1973,*,*,1.48e+01,1.64e+00,1.70e+07,1.36e+12,1.91e+31,3.50e+31,37.483,131.503,1.29e-15,1.70e+07,1.35e+12,4.76e+00
B0403-76,J0401-7608,04:01:51.6,-76:08:13.8,*,*,*,46902.00,301.212,-76.825,*,*,290.313,-35.907,60.465333,-76.137167,0.545253,1.834012,-5.174e-15,*,*,46800.00,21.70,*,19.00,18.000,27.000,TDB,*,19.00,14.00,*,*,*,*,*,*,*,*,*,*,*,*,*,1.01,1.01,-12.73,-0.59,-0.77,8.22,*,"mol2,pks70",4010,1978,*,*,1.94e+01,1.43e+01,5.62e+06,9.27e+11,3.75e+32,3.67e+32,*,*,*,*,*,5.36e+01
B0450-18,J0452-1759,04:52:34.1,-17:59:23.3,8.900,10.600,0.600,52275.00,68.832,-40.198,*,*,217.078,-34.087,73.142107,-17.989825,0.548939,1.821695,-1.909e-14,3.400e-27,*,49289.00,39.90,*,11.10,28.700,36.800,TDB,0.00,82.00,5.30,*,*,*,*,*,*,*,*,*,*,*,*,*,0.40,2.71,-22.36,-0.22,-0.2,8.76,*,"mol1,mol2,pks70",4011,1969,*,*,1.31e+01,8.48e-01,1.51e+06,1.80e+12,1.37e+33,8.58e+33,13.841,26.248,5.75e-15,1.51e+06,1.80e+12,1.02e+02
B0523+11,J0525+1115,05:25:56.4,+11:15:19.0,30.000,-4.000,*,48262.00,81.464,-11.932,*,*,192.695,-13.246,81.485201,11.2553,0.354438,2.821371,-5.859e-16,-3.300e-28,*,48262.00,79.42,*,37.00,15.900,20.800,TDB,0.00,19.50,1.60,*,*,*,*,*,*,*,*,*,*,*,*,*,1.84,1.84,-18.20,-0.42,-0.39,10.25,*,"mol2,gb4",10010,1978,*,*,6.60e+01,5.42e+00,7.63e+07,1.63e+11,6.53e+31,1.93e+31,30.265,264.017,7.22e-17,7.78e+07,1.62e+11,3.44e+01
B0525+21,J0528+2200,05:28:52.2,+22:00:04,-20.000,7.000,*,53100.00,82.786,-1.244,*,*,183.856,-6.896,82.217767,22.001111,3.745539,0.266984,-2.855e-15,*,*,54200.00,50.87,*,-39.60,185.500,214.200,TDB,0.00,57.00,9.00,*,*,*,*,*,*,*,*,*,*,*,*,*,1.22,1.22,-6.11,-0.15,-0.08,9.71,*,"gb1,gb3,gb4",10220,1968,*,3,8.48e+01,1.34e+01,1.48e+06,1.24e+13,3.01e+31,2.02e+31,21.190,122.560,4.00e-14,1.48e+06,1.24e+13,2.21e+00
B0531+21,J0534+2200,05:34:31.9,+22:00:52.0,-14.700,2.000,*,40706.00,84.098,-1.294,*,*,184.558,-5.784,83.633221,22.014461,0.033392,29.946923,-3.775e-10,1.115e-20,-2.730e-30,48442.50,56.77,*,-42.30,3.000,4.700,TDB,0.00,550.00,14.00,*,*,*,*,*,*,*,*,*,*,*,*,*,2.00,1.31,-5.72,-0.2,-0.16,10.48,"SNR:PWN:Crab[ccl+69],GRS:2FGL_J0534.5+22","misc,ar4,gb4",430000,1968,"HE[cdt69,fhm+69,hjm+70]",24,2.20e+03,5.60e+01,1.26e+03,3.79e+12,4.46e+38,1.12e+38,14.835,140.669,4.21e-13,1.26e+03,3.79e+12,9.55e+05
