NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,PX,POSEPOCH,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,RAJD,DECJD,P0,F0,F1,F2,F3,PEPOCH,DM,DM1,RM,W50,W10,UNITS,TAU_SC,S400,S1400,S2000,BINARY,T0,PB,A1,OM,ECC,TASC,EPS1,EPS2,Minimum,Median,BINCOMP,DIST,DIST_DM,DM*sin(b),ZZ,XX,YY,ASSOC,SURVEY,OSURVEY,DISC.,PSR,NGLT,R_LUM,R_LUM14,AGE,BSURF,EDOT,EDOTD2,PMTOT,VTRANS,P1_I,AGE_I,BSURF_I,B_LC
B0031-07,J0034-0721,00:34:08.8,-07:21:53.4,10.370,-11.130,0.930,52275.00,4.9,-10.147,*,*,110.42,-69.815,8.53696,-7.364836,0.942951,1.060500,-4.591e-16,2.100e-28,*,46635.00,10.92,*,9.89,56.700,104.500,TDB,0.00,52.00,11.00,*,*,*,*,*,*,*,*,*,*,*,*,*,1.03,1.00,-10.25,-0.97,0.33,8.62,*,"mol1,pks70",000000004001,1969,*,*,5.52e+01,1.17e+01,3.66e+07,6.28e+11,1.92e+31,1.81e+31,15.212,74.285,4.08e-16,3.66e+07,6.27e+11,7.02e+00
J0134-2937,J0134-2937,01:34:18.6,-29:37:17.0,13.000,-11.000,*,54428.00,8.735,-36.285,*,*,230.251,-80.25,23.577843,-29.621401,0.136962,7.301316,-4.178e-15,*,*,54428.00,21.81,*,13.00,6.500,12.000,TDB,*,9.00,2.40,*,*,*,*,*,*,*,*,*,*,*,*,*,25.00,25.00,-21.49,-24.64,-3.26,11.21,*,pks70,000000004000,1996,*,*,5.62e+03,1.50e+03,2.77e+07,1.05e+11,1.20e+33,1.93e+30,17.029,2018.393,7.60e-17,2.86e+07,1.03e+11,3.83e+02
B0148-06,J0151-0635,01:51:22.7,-06:35:02.8,15.000,-30.000,*,49347.00,23.399,-16.844,*,*,160.368,-65.004,27.844588,-6.584111,1.464665,0.682750,-2.063e-16,5.400e-27,*,49347.00,25.66,*,2.00,56.900,112.100,TDB,*,38.00,1.30,*,*,*,*,*,*,*,*,*,*,*,*,*,25.00,25.00,-23.26,-22.66,3.55,18.45,*,"mol2,pks70",000000004010,1978,*,*,2.38e+04,8.12e+02,5.24e+07,8.15e+11,5.56e+30,8.90e+27,33.541,3975.421,3.43e-16,6.78e+07,7.17e+11,2.43e+00
B0149-16,J0152-1637,01:52:10.8,-16:37:52.9,3.100,-27.000,*,48227.00,19.501,-26.218,*,*,179.305,-72.456,28.045223,-16.631386,0.832742,1.200853,-1.874e-15,-4.980e-27,*,48227.00,11.93,*,6.60,17.800,26.100,TDB,*,20.00,1.50,*,*,*,*,*,*,*,*,*,*,*,*,*,0.92,0.92,-11.37,-0.88,0.0,8.78,*,"mol2,pks70",000000004010,1978,*,*,1.69e+01,1.27e+00,1.02e+07,1.05e+12,8.88e+31,1.05e+32,27.177,118.539,1.30e-15,1.02e+07,1.05e+12,1.71e+01
B0203-40,J0206-4028,02:06:01.2,-40:28:04.3,-10.000,75.000,*,46902.00,9.332,-48.904,*,*,258.595,-69.633,31.505283,-40.467869,0.630550,1.585917,-3.017e-15,*,*,46800.00,12.90,*,-4.00,8.000,20.000,TDB,*,11.00,1.00,*,*,*,*,*,*,*,*,*,*,*,*,*,1.26,1.26,-12.09,-1.18,-0.43,8.59,*,"mol2,pks70",000000004010,1978,*,*,1.75e+01,1.59e+00,8.33e+06,8.80e+11,1.89e+32,1.19e+32,75.664,451.986,1.19e-15,8.41e+06,8.76e+11,3.29e+01
B0254-53,J0255-5304,02:55:56.2,-53:04:21.3,0.000,70.000,*,46916.00,8.528,-64.079,*,*,269.862,-55.31,43.984254,-53.0726,0.447708,2.233596,-1.527e-16,*,*,46800.00,15.90,*,32.00,9.000,12.000,TDB,*,17.00,3.00,*,*,*,*,*,*,*,*,*,*,*,*,*,1.51,1.51,-13.07,-1.24,-0.86,8.5,*,"mol1,mol2,pks70,ghrss",004000004011,1969,*,*,3.88e+01,6.84e+00,2.32e+08,1.18e+11,1.35e+31,5.90e+30,70.000,501.120,2.26e-17,3.15e+08,1.02e+11,1.24e+01
B0301+19,J0304+1932,03:04:33.1,+19:32:51.4,6.000,-37.000,*,49289.00,49.2,2.104,*,*,161.135,-33.27,46.137979,19.547611,1.387584,0.720677,-6.727e-16,-2.450e-27,*,49289.00,15.66,*,-8.30,58.400,73.400,TDB,0.00,27.00,3.00,*,*,*,*,*,*,*,*,*,*,*,*,*,0.74,0.74,-8.59,-0.41,0.2,9.09,*,"misc,mol2,gb4",000000410010,1973,*,*,1.48e+01,1.64e+00,1.70e+07,1.36e+12,1.91e+31,3.50e+31,37.483,131.503,1.29e-15,1.70e+07,1.35e+12,4.76e+00
B0320+39,J0323+3944,03:23:26.6,+39:44:52.9,16.000,-30.000,*,49290.00,58.804,20.453,*,*,152.18,-14.338,50.860908,39.748028,3.032072,0.329807,-6.914e-17,6.700e-29,*,49290.00,26.19,*,56.30,42.700,74.700,TDB,0.00,34.00,0.90,*,*,*,*,*,*,*,*,*,*,*,*,*,1.20,1.20,-6.49,-0.3,0.54,9.53,*,"gb1,gb2,gb4,gbncc",002000010060,1978,*,*,4.90e+01,1.30e+00,7.56e+07,1.40e+12,9.00e+29,6.25e+29,34.000,193.431,6.25e-16,7.68e+07,1.39e+12,4.72e-01
J0343-3000,J0343-3000,03:43:27.9,-30:00:27.5,*,*,*,52950.00,43.35,-48.07,*,*,227.758,-52.338,55.866417,-30.007639,2.597027,0.385056,-8.451e-18,*,*,52950.00,20.20,*,45.00,48.000,273.000,TDB,*,*,0.90,*,*,*,*,*,*,*,*,*,*,*,*,*,1.59,1.59,-15.99,-1.26,-0.72,9.15,*,pkshl,000001000000,2006,*,*,*,2.28e+00,7.22e+08,3.89e+11,1.28e+29,5.08e+28,*,*,*,*,*,2.08e-01
B0403-76,J0401-7608,04:01:51.6,-76:08:13.8,*,*,*,46902.00,301.212,-76.825,*,*,290.313,-35.907,60.465333,-76.137167,0.545253,1.834012,-5.174e-15,*,*,46800.00,21.70,*,19.00,18.000,27.000,TDB,*,19.00,14.00,*,*,*,*,*,*,*,*,*,*,*,*,*,1.01,1.01,-12.73,-0.59,-0.77,8.22,*,"mol2,pks70",000000004010,1978,*,*,1.94e+01,1.43e+01,5.62e+06,9.27e+11,3.75e+32,3.67e+32,*,*,*,*,*,5.36e+01
