# MeerKAT Fornax Survey pointings
#
# Nr pointings = 91
# 
   RA(J2000)  Dec(J2000)
#      (deg)       (deg)
#
   54.401986  -35.499831
   53.446143  -35.499831
   52.490301  -35.499831
   51.534458  -35.499831
   55.357828  -35.499831
   56.313670  -35.499831
   54.400748  -35.949106
   53.439500  -35.949106
   52.478251  -35.949106
   51.517003  -35.949106
   50.555755  -35.949106
   55.361996  -35.949106
   56.323244  -35.949106
   57.284493  -35.949106
   54.399482  -36.398382
   53.432707  -36.398382
   52.465931  -36.398382
   51.499156  -36.398382
   50.532381  -36.398382
   55.366258  -36.398382
   56.333033  -36.398382
   57.299809  -36.398382
   53.425762  -36.847657
   52.453335  -36.847657
   51.480908  -36.847657
   50.508482  -36.847657
   55.370615  -36.847657
   56.343042  -36.847657
   52.440456  -37.296932
   51.462251  -37.296932
   50.484046  -37.296932
   51.443174  -37.746208
   50.459061  -37.746208
   54.403196  -35.050556
   53.452641  -35.050556
   52.502086  -35.050556
   55.353751  -35.050556
   56.304306  -35.050556
   54.404380  -34.601280
   53.458996  -34.601280
   55.349764  -34.601280
   56.295148  -34.601280
   54.405538  -34.152005
   55.345864  -34.152005
   54.879186  -35.275193
   53.926002  -35.275193
   52.972818  -35.275193
   52.019634  -35.275193
   55.832370  -35.275193
   56.785554  -35.275193
   54.880635  -35.724469
   53.922105  -35.724469
   52.963575  -35.724469
   52.005044  -35.724469
   51.046514  -35.724469
   55.839166  -35.724469
   56.797696  -35.724469
   54.882117  -36.173744
   53.918120  -36.173744
   52.954124  -36.173744
   51.990127  -36.173744
   51.026131  -36.173744
   50.062134  -36.173744
   55.846113  -36.173744
   56.810110  -36.173744
   54.883632  -36.623019
   53.914046  -36.623019
   52.944461  -36.623019
   51.974876  -36.623019
   51.005290  -36.623019
   50.035705  -36.623019
   55.853217  -36.623019
   56.822802  -36.623019
   52.934581  -37.072295
   51.959281  -37.072295
   50.983982  -37.072295
   50.008682  -37.072295
   55.860480  -37.072295
   51.943337  -37.521570
   50.962194  -37.521570
   49.981052  -37.521570
   50.939916  -37.970845
   54.877769  -34.825918
   53.929814  -34.825918
   52.981859  -34.825918
   55.825724  -34.825918
   56.773679  -34.825918
   54.876383  -34.376643
   53.933542  -34.376643
   55.819224  -34.376643
   54.875027  -33.927367
