,Unnamed: 0,index,Name,Period,DM,Observatory,Frequencies,RMSASP,"~σt, ASP",MJD,T,N,RA,Dec,ra_deg,dec_deg
0,0,2,J0340+4130,3.3,49.6,GBT,820/1500,—,—,55972,1.3,41,03 40 23.2887,+41 30 45.300,55.09703625,41.5125833333
1,1,3,J0613−0200,3.06,38.8,GBT,820/1500,0.178,0.30,53348,8.4,217,,,342.193320686,30.4356793917
2,2,4,J0645+5158,8.85,18.2,GBT,820/1500,—,—,55700,2.0,53,06 45 59.0819,+51 58 14.921,101.496174583,51.9708113889
3,3,5,J0931−1902,4.64,41.5,GBT,820/1500,—,—,56351,0.2,53,,,40.2587733693,24.7543773114
4,4,6,J1012+5307,5.26,9.0,GBT,820/1500,0.276,0.67,51012,14.8,236,10 12 33.4341,+53 07 02.564,153.13930875,53.11737888890001
5,5,7,J1024−0719,5.16,6.5,GBT,820/1500,—,—,55094,3.7,120,,,57.705767901499996,33.3522386956
6,6,8,J1455−3330,7.99,13.6,GBT,820/1500,0.787,2.35,53217,8.8,232,,,96.1328357927,-23.342751209099998
7,7,9,J1600−3053,3.6,52.3,GBT,820/1500,0.163,0.34,54400,5.6,173,,,108.188164919,-32.4454142071
8,8,10,J1614−2230,3.15,34.5,GBT,820/1500,—,—,54724,4.7,134,,,118.03596115299999,-29.520491187399998
9,9,12,J1643−1224,4.62,62.4,GBT,820/1500,1.467,0.67,53217,8.8,236,,,131.815462435,-27.6713691054
10,10,16,J1744−1134,4.07,3.1,GBT,820/1500,0.198,0.22,53216,8.8,226,,,145.463724878,-37.168899948800004
11,11,17,J1747−4036,1.65,152.9,GBT,820/1500,—,—,55976,1.2,41,,,112.316419383,-55.9204207785
12,12,21,J1909−3744,2.95,10.4,GBT,820/1500,0.038,0.09,53219,8.8,212,,,133.605283864,-68.882734027
13,13,23,J1918−0642,7.65,26.6,GBT,820/1500,0.203,0.62,53216,8.8,218,,,175.27613589599997,-45.790548730699996
14,14,29,J2010−1323,5.22,22.2,GBT,820/1500,—,—,54725,4.7,125,,,191.052044988,-56.3666577946
15,15,32,J2145−0750,16.05,9.0,GBT,820/1500,0.202,0.57,53219,8.8,187,,,230.848721657,-50.618133172200004
16,16,34,J2302+4442,5.19,13.8,GBT,820/1500,—,—,55972,1.3,39,23 02 46.9789,+44 42 22.102,345.69574541699996,44.706139444399994
17,17,13,J1713+0747,4.57,16.0,AO/GBT,1410/2030//820/1500,0.030,0.08,48738/53798,21.2/7.2,659/212,17 13 49.5305,+07 47 37.526,258.456377083,7.79375722222
18,18,25,B1937+21,1.56,71.0,AO/GBT,1410/2030//820/1500,—,—,45985/53216,28.6/8.8,1001/233,19 39 39.6,+21 37 22,294.915,21.622777777800003
