level_0,index,Unnamed: 0,NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,PX,POSEPOCH,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,RAJD,DECJD,P0,F0,F1,F2,F3,PEPOCH,DM,DM1,RM,W50,W10,UNITS,TAU_SC,S400,S1400,S2000,BINARY,T0,PB,A1,OM,ECC,TASC,EPS1,EPS2,Minimum,Median,BINCOMP,DIST,DIST_DM,DM*sin(b),ZZ,XX,YY,ASSOC,SURVEY,OSURVEY,DISC.,PSR,NGLT,R_LUM,R_LUM14,AGE,BSURF,EDOT,EDOTD2,PMTOT,VTRANS,P1_I,AGE_I,BSURF_I,B_LC,Unnamed: 69
147,748,749,J0437-4715,J0437-4715,04:37:15.8,-47:15:09.1,121.439,-71.475,6.370,54500.00,50.468,-67.873,*,*,253.394,-41.963,69.316234,-47.252531,0.005757,173.687946,-1.728e-15,*,*,54500.00,2.64,*,0.58,0.141,1.020,TCB,*,550.00,149.00,*,T2,54501.4671,5.7410,3.3667,1.36,1.918e-05,*,*,*,0.1403,0.1637,He[vbv+08],0.16,0.16,-1.77,-0.1,-0.11,8.53,"OPT:[bbm+95],GRS:2FGL_J0437.3-4712[naa+1","pks70,pkshl",000001004000,1993,"HE[bt93,aaa+09f]",*,1.35e+01,3.66e+00,1.59e+09,5.81e+08,1.19e+34,4.82e+35,140.911,104.745,1.37e-20,6.64e+09,2.85e+08,2.85e+04,
152,860,861,J2241-5236,J2241-5236,22:41:42.0,-52:36:36.2,*,*,*,55044.20,318.696,-40.393,*,*,337.457,-54.927,340.425077,-52.610063,0.002187,457.310150,-1.388e-15,*,*,55044.20,11.41,*,13.30,0.070,0.130,TCB,*,*,4.10,*,BT,55044.1581,0.1457,0.0258,*,0.000e+00,*,*,*,0.0117,0.0135,UL[kjr+11],0.96,0.96,-9.34,-0.79,-0.21,7.99,"GRS:2FGL_J2241.7-5236[naa+12],XRS:","FermiAssoc,ghrss",004020000000,2011,HE,*,*,3.78e+00,5.22e+09,1.22e+08,2.51e+34,2.72e+34,*,*,*,*,*,1.09e+05,
156,893,894,J0711-6830,J0711-6830,07:11:54.1,-68:30:47.4,-15.570,14.240,*,54500.00,204.061,-82.889,*,*,279.531,-23.28,107.975788,-68.513171,0.005491,182.117235,-4.944e-16,*,*,54500.00,18.41,*,23.90,1.092,2.570,TCB,*,10.00,3.20,*,*,*,*,*,*,*,*,*,*,*,*,*,0.11,0.11,-7.27,-0.04,-0.1,8.48,*,"pks70,pkssw",000000104000,1997,*,*,1.21e-01,3.87e-02,5.84e+09,2.90e+08,3.55e+33,2.94e+35,21.100,11.004,1.43e-20,6.10e+09,2.83e+08,1.64e+04,
160,922,923,J1045-4509,J1045-4509,10:45:50.1,-45:09:54.1,-6.070,5.200,2.200,54500.00,186.519,-47.715,*,*,280.851,12.254,161.459112,-45.165034,0.007474,133.793150,-3.162e-16,*,*,54500.00,58.14,-0.004,94.70,0.840,1.450,TCB,*,15.00,2.70,*,ELL1,*,4.0835,3.0151,242.33,2.367e-05,50273.5070,-2.096e-05,-1.099e-05,0.1590,0.1857,He[bhl+94],0.34,0.34,12.34,0.07,-0.33,8.44,*,"pks70,pkssw,htru_pks,ghrss",004010104000,1994,*,*,1.73e+00,3.12e-01,6.70e+09,3.68e+08,1.67e+33,1.44e+34,7.993,12.884,1.73e-20,6.86e+09,3.64e+08,8.26e+03,
161,923,924,J1652-48,J1652-48,16:52:54,-48:45,*,*,*,51373.30,257.774,-26.02,*,*,337.954,-3.019,253.225,-48.75,0.003785,264.192151,*,*,*,51373.30,187.80,*,*,*,*,TDB,*,*,2.70,*,*,*,*,*,*,*,*,*,*,*,*,*,4.39,4.39,-9.89,-0.23,-1.65,4.44,*,pksmb,000000040000,2013,*,*,*,5.20e+01,*,*,*,*,*,*,*,*,*,*,
165,948,949,J1933-6211,J1933-6211,19:33:32.4,-62:11:46.8,-5.540,10.700,*,53000.00,283.962,-39.886,*,*,334.431,-28.632,293.385111,-62.196354,0.003543,282.212314,-3.083e-16,*,*,53000.00,11.52,*,*,0.360,1.030,TDB,*,*,2.30,*,ELL1,*,12.8194,12.2816,103.24,1.397e-06,53000.4953,1.360e-06,-3.200e-07,0.3237,0.3824,CO(?)[jbo+07],0.65,0.65,-5.52,-0.31,-0.25,7.99,*,pkssw,000000100000,2007,*,*,*,9.72e-01,1.45e+10,1.19e+08,3.43e+33,8.13e+33,12.049,37.131,3.06e-21,1.84e+10,1.05e+08,2.50e+04,
166,963,964,J1909-3744,J1909-3744,19:09:47.4,-37:44:14.4,-9.517,-35.797,0.810,54500.00,284.221,-15.155,*,*,359.731,-19.596,287.447644,-37.737352,0.002947,339.315687,-1.615e-15,*,*,54500.00,10.39,-0.000,-0.60,0.044,0.090,TCB,*,*,2.10,*,T2,53631.3900,1.5334,1.8980,156.00,1.140e-07,*,*,*,0.1954,0.2288,He[jhb+05],1.14,0.56,-3.49,-0.38,-0.01,7.43,*,pkssw,000000100000,2003,*,*,*,2.73e+00,3.33e+09,2.06e+08,2.16e+34,1.66e+34,37.040,200.193,2.83e-21,1.65e+10,9.24e+07,7.54e+04,
170,1007,1008,J1732-5049,J1732-5049,17:32:47.7,-50:49:00.1,-0.410,-9.870,*,54500.00,265.162,-27.492,*,*,340.029,-9.454,263.199028,-50.81672,0.005313,188.233512,-5.030e-16,*,*,54500.00,56.84,0.001,-8.50,0.292,1.760,TCB,*,*,1.70,*,ELL1,*,5.2630,3.9829,165.83,8.498e-06,51396.3661,2.080e-06,-8.240e-06,0.1789,0.2093,He[eb01b],1.87,1.87,-9.34,-0.31,-0.63,6.77,GRS:[hsg+14],"pkssw,htru_pks",000010100000,2001,HE,*,*,5.94e+00,5.93e+09,2.78e+08,3.74e+33,1.07e+33,9.879,87.579,1.18e-20,7.11e+09,2.54e+08,1.74e+04,
173,1052,1053,J1421-4409,J1421-4409,14:21:20.9,-44:09:04.5,-10.000,3.000,*,57600.00,228.338,-28.294,*,*,319.497,15.809,215.337353,-44.151261,0.006386,156.599196,-3.114e-16,*,*,57600.00,54.63,*,-43.00,*,*,TDB,*,*,1.40,*,ELL1,56935.6000,30.7465,12.7067,39.00,1.280e-05,*,*,*,0.1757,0.2055,*,2.08,2.08,14.88,0.57,-1.3,6.98,*,pks_superb,010000000000,2017,*,*,*,6.06e+00,7.97e+09,2.88e+08,1.93e+33,4.45e+32,10.440,102.954,9.18e-21,1.10e+10,2.45e+08,1.04e+04,
175,1069,1070,J1708-3506,J1708-3506,17:08:17.6,-35:06:22.6,-5.300,-2.000,*,55132.90,259.211,-12.15,*,*,350.47,3.124,257.073426,-35.106289,0.004505,221.967751,-5.627e-16,*,*,55132.90,146.73,*,-15.00,0.550,1.740,TDB,*,*,1.31,*,DD,55206.8010,149.1332,33.5842,180.00,2.445e-04,*,*,*,0.1610,0.1882,He[bbb+11],3.32,3.32,8.00,0.18,-0.55,5.23,*,htru_pks,000010000000,2010,*,*,*,1.44e+01,6.25e+09,2.30e+08,4.93e+33,4.47e+32,5.665,89.164,1.03e-20,6.96e+09,2.18e+08,2.35e+04,
178,1109,1110,J1902-5105,J1902-5105,19:02:02.8,-51:05:56.9,-4.800,-4.400,*,55520.00,280.991,-28.25,*,*,345.65,-22.379,285.511868,-51.099158,0.001742,573.921045,-3.030e-15,*,*,55520.00,36.25,*,*,*,*,TDB,*,*,1.20,*,ELL1,*,2.0118,1.9020,109.60,5.864e-06,55162.2816,5.524e-06,-1.967e-06,0.1609,0.1880,He[kcj+12],1.65,1.65,-13.80,-0.63,-0.38,7.02,GRS:3FGL_J1902.0-5107[aaa+15],"FermiAssoc,ghrss",004020000000,2012,HE,*,*,3.27e+00,3.00e+09,1.28e+08,6.87e+34,2.52e+34,6.512,50.937,8.90e-21,3.10e+09,1.26e+08,2.27e+05,
