level_0,index,Unnamed: 0,NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,PX,POSEPOCH,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,RAJD,DECJD,P0,F0,F1,F2,F3,PEPOCH,DM_x,DM1,RM,W50,W10,UNITS,TAU_SC,S400,S1400,S2000,BINARY,T0,PB,A1,OM,ECC,TASC,EPS1,EPS2,Minimum,Median,BINCOMP,DIST,DIST_DM,DM*sin(b),ZZ,XX,YY,ASSOC,SURVEY,OSURVEY,DISC.,PSR,NGLT,R_LUM,R_LUM14,AGE,BSURF,EDOT,EDOTD2,PMTOT,VTRANS,P1_I,AGE_I,BSURF_I,B_LC,Unnamed: 69,Period,DM_y,Observatory,Frequencies,RMSASP,"~σt, ASP",MJD,T,N,RA_x,Dec,ra_deg_x,dec_deg_x,RA_y,DEC_x,ra_deg_y,dec_deg_y,RA,DEC_y,ra_deg,dec_deg,_merge
153,868,869,J2317+1439,J2317+1439,23:17:09.2,+14:39:31.2,*,*,0.490,54977.00,356.129,17.68,0.196,3.740,91.361,-42.36,349.288486,14.658682,0.003445,290.254608,-2.047e-16,*,*,54977.00,21.88,*,-4.00,0.460,0.580,TDB,*,19.00,4.00,*,ELL1H,*,2.4593,2.3139,91.76,5.202e-07,54976.6094,5.200e-07,-1.600e-08,0.1721,0.2012,He[dsw+17],2.04,2.16,-14.74,-1.38,1.51,8.54,OPT:[dsw+17],ar4,000000020000,1993,*,*,7.91e+01,1.67e+01,2.25e+10,9.26e+07,2.35e+33,5.63e+32,3.745,36.236,2.19e-21,2.49e+10,8.79e+07,2.12e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
157,894,895,J0751+1807,J0751+1807,07:51:09.1,+18:07:38.4,-2.730,-13.400,0.820,51800.00,116.334,-2.808,*,*,202.73,21.086,117.788147,18.127357,0.003479,287.457854,-6.435e-16,*,*,55000.00,30.25,0.000,9.00,0.700,*,TCB,*,10.00,3.20,*,ELL1H,*,0.2631,0.3966,83.43,3.322e-06,51800.2159,3.300e-06,3.800e-07,0.1283,0.1496,He[nsk08],1.11,0.43,10.88,0.4,-0.4,9.46,GRS:2FGL_J0751.1+1809[naa+12],misc,000000400000,1995,"HE[wob+04,aaa+09f]",*,1.23e+01,3.94e+00,7.08e+09,1.67e+08,7.30e+33,5.93e+33,13.675,71.966,6.03e-21,9.14e+09,1.47e+08,3.71e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
159,920,921,J2051-0827,J2051-0827,20:51:07.5,-08:27:37.7,5.630,2.340,*,55655.00,312.836,8.846,*,*,39.192,-30.411,312.781332,-8.460486,0.004509,221.796284,-6.264e-16,*,*,55655.00,20.73,0.001,-45.90,0.340,*,TDB,*,22.00,2.80,*,ELL1,*,0.0991,0.0451,36.19,5.080e-05,54091.0343,3.000e-05,4.100e-05,0.0267,0.0309,UL[sbb96],1.47,1.47,-10.49,-0.74,0.8,7.52,*,pks70,000000004000,1996,HE[wkh+12],*,4.75e+01,6.05e+00,5.61e+09,2.42e+08,5.48e+33,2.54e+33,6.097,42.491,1.21e-20,5.89e+09,2.37e+08,2.48e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
162,931,932,J1944+0907,J1944+0907,19:44:09.3,+09:07:23.0,*,*,0.500,56570.00,299.995,29.891,9.200,-25.100,47.16,-7.357,296.038879,9.123057,0.005185,192.856521,-6.448e-16,*,*,56570.00,24.36,*,-41.00,0.500,2.500,TDB,*,3.90,2.60,*,*,*,*,*,*,*,*,*,*,*,*,*,1.36,1.22,-3.12,-0.17,0.99,7.58,*,ar4,000000020000,2005,*,*,7.21e+00,4.81e+00,4.74e+09,3.03e+08,4.91e+33,2.65e+33,26.733,172.366,5.09e-21,1.61e+10,1.64e+08,2.04e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
164,943,944,J0613-0200,J0613-0200,06:13:43.9,-02:00:47.2,*,*,0.930,55413.00,93.799,-25.407,2.126,-10.290,210.413,-9.305,93.433233,-2.01312,0.003062,326.600567,-1.023e-15,*,*,55413.00,38.78,*,17.50,0.462,0.920,TDB,0.00,21.00,2.30,*,ELL1,*,1.1985,1.0914,35.08,4.350e-06,55412.5433,2.500e-06,3.560e-06,0.1286,0.1499,He[lnl+95],0.78,1.02,-6.27,-0.13,-0.39,9.16,GRS:2FGL_J0613.8-0200[naa+12],pks70,000000004000,1995,HE,1,1.28e+01,1.40e+00,5.06e+09,1.73e+08,1.32e+34,2.17e+34,10.507,38.856,8.95e-21,5.42e+09,1.68e+08,5.66e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
167,970,971,B1257+12,J1300+1240,13:00:03.5,+12:40:56.4,45.500,-84.700,1.410,49750.00,188.722,17.576,*,*,311.31,75.414,195.014903,12.682353,0.006219,160.809659,-2.957e-15,*,*,49750.00,10.17,-0.001,7.91,0.660,1.400,TDB,0.00,20.00,2.00,*,BT2P,49765.1000,25.2620,0.0000,0.00,0.000e+00,*,*,*,0.0000,0.0000,ULT[wol94],0.60,0.88,9.84,0.58,-0.11,8.4,XRS:[pkgw07],ar4,000000020000,1990,*,*,7.20e+00,7.20e-01,8.62e+08,8.53e+08,1.88e+34,5.21e+34,96.147,273.499,3.05e-20,3.23e+09,4.41e+08,3.33e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
168,973,974,J1640+2224,J1640+2224,16:40:16.7,+22:24:08.8,*,*,0.660,55366.00,243.989,44.059,4.182,-10.738,41.051,38.271,250.069771,22.402451,0.003163,316.123984,-2.815e-16,*,*,55366.00,18.46,*,24.60,0.220,*,TDB,*,*,2.00,*,DD,55310.8528,175.4607,55.3297,50.73,7.973e-04,*,*,*,0.2470,0.2903,CO[vdk+17],1.52,1.51,11.44,0.94,0.78,7.6,GRS:[hsg+14],ar4,000000020000,1995,HE,*,*,4.59e+00,1.78e+10,9.55e+07,3.51e+33,1.53e+33,11.524,82.777,1.27e-21,3.94e+10,6.42e+07,2.83e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
169,980,981,B1821-24A,J1824-2452A,18:24:32.0,-24:52:10.8,-0.690,*,*,54500.00,275.565,-1.549,*,*,7.797,-5.578,276.133366,-24.869676,0.003054,327.405590,-1.735e-13,*,*,54500.00,119.89,0.001,82.20,0.972,1.600,TCB,0.00,40.00,2.00,*,*,*,*,*,*,*,*,*,*,*,*,*,5.50,3.70,-11.65,-0.53,0.74,3.08,"GC:M28(NGC6626),XRS:[bsp+03]","misc,pksmb",000000440000,1987,"HE[skk+97,bvs+11]",1,1.21e+03,6.05e+01,2.99e+07,2.25e+09,2.24e+36,7.41e+34,*,*,*,*,*,7.40e+05,,,,,,,,,,,,,,,,,,,,,,,left_only
171,1030,1031,J2010-1323,J2010-1323,20:10:45.9,-13:23:56.0,*,*,0.350,56235.00,301.924,6.491,1.230,-6.400,29.446,-23.54,302.691339,-13.398914,0.005223,191.450912,-1.769e-16,*,*,56235.00,22.18,*,4.00,0.280,0.440,TDB,*,*,1.60,*,*,*,*,*,*,*,*,*,*,*,*,*,1.16,1.16,-8.86,-0.46,0.52,7.57,*,pkssw,000000100000,2007,*,*,*,2.15e+00,1.72e+10,1.61e+08,1.34e+33,9.93e+32,6.517,35.841,4.20e-21,1.97e+10,1.50e+08,1.06e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
174,1058,1059,J1748-3009,J1748-3009,17:48:23.7,-30:09:12.2,*,*,*,51495.10,267.474,-6.74,*,*,359.272,-1.147,267.099125,-30.153389,0.009684,103.260203,*,*,*,51495.10,420.20,*,*,*,*,TDB,*,*,1.40,*,BT,56069.1621,2.9338,1.3201,*,*,*,*,*,0.0839,0.0975,He[kek+13],5.07,5.07,-8.41,-0.1,-0.06,3.43,*,pksmb,000000040000,2013,*,*,*,3.60e+01,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,left_only
176,1087,1088,J1903+0327,J1903+0327,19:03:05.7,+03:27:19.2,-2.060,-5.210,0.400,55000.00,287.563,25.938,*,*,37.336,-1.014,285.774138,3.455336,0.002150,465.135238,-4.072e-15,6.100e-26,*,55000.00,297.52,-0.008,*,*,*,TCB,0.00,*,1.30,0.62,DD,55015.5816,95.1741,105.5935,141.65,4.367e-01,*,*,*,0.8873,1.0837,MS[fbw+11],1.86,6.11,-5.26,-0.03,1.13,7.02,OPT:[fbw+11],palfa,000002000000,2008,*,*,*,4.50e+00,1.81e+09,2.04e+08,7.48e+34,2.16e+34,5.602,49.404,1.85e-20,1.84e+09,2.02e+08,1.92e+05,,,,,,,,,,,,,,,,,,,,,,,left_only
