,0
0,614.0
1,705.0
2,329.0
3,173.0
4,268.0
5,329.0
6,114.0
7,46.0
8,272.0
9,258.0
10,150.0
11,316.0
12,760.0
13,605.0
14,267.0
15,137.0
16,640.0
17,52.0
18,289.0
19,147.0
20,551.0
21,150.0
22,578.0
23,181.0
24,163.0
25,312.0
26,71.0
27,533.0
28,73.0
29,452.0
30,297.0
31,341.0
32,527.0
33,524.0
34,97.0
35,973.0
36,52.0
37,625.0
38,19.0
39,192.0
40,159.0
41,102.0
42,616.0
43,231.0
44,665.0
45,478.0
46,114.0
47,108.0
48,142.0
49,533.0
50,138.0
51,136.0
52,177.0
53,473.0
54,461.0
55,126.0
56,146.0
57,243.0
58,338.0
59,370.0
60,243.0
61,190.0
62,535.0
63,164.0
64,111.0
65,601.0
66,499.0
67,361.0
68,789.0
69,419.0
70,349.0
71,419.0
72,178.0
73,299.0
74,212.0
75,407.0
76,625.0
77,112.0
78,381.0
79,167.0
80,198.0
81,452.0
82,63.0
83,557.0
84,462.0
85,238.0
86,105.0
87,144.0
88,496.0
89,180.0
90,190.0
91,268.0
92,407.0
93,261.0
94,980.0
95,56.0
96,297.0
97,287.0
98,136.0
99,105.0
